,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-08-18-00,24.5,27.0,31.5,30.5,24.2,27.6,27.3,26.8
2019-08-18-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-18-02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-18-03,27.1,28.2,34.6,30.0,28.8,30.7,31.5,30.0
2019-08-18-04,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-18-05,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-18-06,30.1,28.6,33.3,30.2,30.8,30.1,34.0,31.1
2019-08-18-07,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-18-08,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-18-09,29.0,27.9,31.1,29.6,30.1,28.2,30.6,29.5
2019-08-18-10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-18-11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-18-12,25.2,26.5,28.6,29.1,26.9,23.1,28.1,27.5
2019-08-18-13,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-18-14,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-18-15,23.6,25.9,27.4,28.4,24.4,24.1,27.4,26.8
2019-08-18-16,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-18-17,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-18-18,22.2,25.1,27.3,27.8,22.8,25.0,26.3,26.4
2019-08-18-19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-18-20,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-18-21,21.2,24.8,27.4,26.9,21.4,26.0,25.9,26.2
2019-08-18-22,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-18-23,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
