,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-08-05-00,29.5,27.2,30.5,29.9,25.8,29.5,28.8,29.0
2019-08-05-01,-999.0,-999.0,32.3,30.5,-999.0,-999.0,-999.0,-999.0
2019-08-05-02,-999.0,-999.0,33.1,30.6,-999.0,-999.0,-999.0,-999.0
2019-08-05-03,32.2,29.2,33.4,31.0,24.2,31.6,30.5,30.9
2019-08-05-04,-999.0,-999.0,33.6,31.1,-999.0,-999.0,-999.0,-999.0
2019-08-05-05,-999.0,-999.0,33.7,31.3,-999.0,-999.0,-999.0,-999.0
2019-08-05-06,35.2,29.1,34.0,30.9,27.7,32.1,30.6,33.8
2019-08-05-07,-999.0,-999.0,32.6,31.4,-999.0,-999.0,-999.0,-999.0
2019-08-05-08,-999.0,-999.0,31.4,30.8,-999.0,-999.0,-999.0,-999.0
2019-08-05-09,34.2,29.6,31.1,29.7,29.2,31.0,30.6,31.4
2019-08-05-10,-999.0,-999.0,30.1,29.3,-999.0,-999.0,-999.0,-999.0
2019-08-05-11,-999.0,-999.0,29.4,28.9,-999.0,-999.0,-999.0,-999.0
2019-08-05-12,31.5,28.2,29.0,28.9,26.6,28.5,29.1,30.1
2019-08-05-13,-999.0,-999.0,28.7,28.8,-999.0,-999.0,-999.0,-999.0
2019-08-05-14,-999.0,-999.0,28.7,28.7,-999.0,-999.0,-999.0,-999.0
2019-08-05-15,30.0,26.9,28.5,28.5,25.3,27.7,28.4,28.9
2019-08-05-16,-999.0,-999.0,28.1,28.4,-999.0,-999.0,-999.0,-999.0
2019-08-05-17,-999.0,-999.0,27.8,28.0,-999.0,-999.0,-999.0,-999.0
2019-08-05-18,29.0,26.2,28.0,28.0,24.2,27.2,27.2,28.4
2019-08-05-19,-999.0,-999.0,27.7,27.9,-999.0,-999.0,-999.0,-999.0
2019-08-05-20,-999.0,-999.0,27.8,28.1,-999.0,-999.0,-999.0,-999.0
2019-08-05-21,28.0,27.4,28.1,27.8,23.9,26.2,27.0,28.2
2019-08-05-22,-999.0,-999.0,29.4,28.2,-999.0,-999.0,-999.0,-999.0
2019-08-05-23,-999.0,-999.0,30.7,29.4,-999.0,-999.0,-999.0,-999.0
