,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-10-11-00,15.7,22.7,19.2,26.3,15.1,22.7,24.9,25.5
2019-10-11-01,-999.0,-999.0,20.1,26.4,-999.0,-999.0,-999.0,-999.0
2019-10-11-02,-999.0,-999.0,20.5,26.9,-999.0,-999.0,-999.0,-999.0
2019-10-11-03,22.2,23.1,20.3,27.7,16.5,24.2,29.4,29.2
2019-10-11-04,-999.0,-999.0,20.8,27.3,-999.0,-999.0,-999.0,-999.0
2019-10-11-05,-999.0,-999.0,21.2,27.3,-999.0,-999.0,-999.0,-999.0
2019-10-11-06,25.5,23.2,21.2,27.3,18.5,23.5,33.9,28.7
2019-10-11-07,-999.0,-999.0,21.3,26.8,-999.0,-999.0,-999.0,-999.0
2019-10-11-08,-999.0,-999.0,21.4,26.5,-999.0,-999.0,-999.0,-999.0
2019-10-11-09,23.0,22.5,21.5,26.2,18.3,22.1,28.7,25.8
2019-10-11-10,-999.0,-999.0,21.1,26.1,-999.0,-999.0,-999.0,-999.0
2019-10-11-11,-999.0,-999.0,21.0,26.0,-999.0,-999.0,-999.0,-999.0
2019-10-11-12,19.7,21.2,20.9,25.8,16.1,21.5,26.0,24.9
2019-10-11-13,-999.0,-999.0,21.0,25.8,-999.0,-999.0,-999.0,-999.0
2019-10-11-14,-999.0,-999.0,21.0,25.8,-999.0,-999.0,-999.0,-999.0
2019-10-11-15,17.1,20.4,21.1,25.8,16.0,21.0,24.8,24.8
2019-10-11-16,-999.0,-999.0,21.3,25.7,-999.0,-999.0,-999.0,-999.0
2019-10-11-17,-999.0,-999.0,21.4,25.5,-999.0,-999.0,-999.0,-999.0
2019-10-11-18,16.2,19.5,21.4,25.6,15.1,20.5,23.8,24.7
2019-10-11-19,-999.0,-999.0,21.8,25.5,-999.0,-999.0,-999.0,-999.0
2019-10-11-20,-999.0,-999.0,22.1,25.5,-999.0,-999.0,-999.0,-999.0
2019-10-11-21,15.7,19.1,22.2,25.6,14.7,21.1,23.7,24.6
2019-10-11-22,-999.0,-999.0,22.3,25.6,-999.0,-999.0,-999.0,-999.0
2019-10-11-23,-999.0,-999.0,22.8,25.8,-999.0,-999.0,-999.0,-999.0
