,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-09-15-00,22.5,24.5,25.7,26.4,20.1,25.7,27.3,27.5
2019-09-15-01,-999.0,-999.0,27.0,25.6,-999.0,-999.0,-999.0,-999.0
2019-09-15-02,-999.0,-999.0,27.8,26.2,-999.0,-999.0,-999.0,-999.0
2019-09-15-03,27.0,26.1,28.9,27.3,24.5,27.2,29.6,28.8
2019-09-15-04,-999.0,-999.0,29.9,27.4,-999.0,-999.0,-999.0,-999.0
2019-09-15-05,-999.0,-999.0,30.2,27.6,-999.0,-999.0,-999.0,-999.0
2019-09-15-06,27.7,25.6,29.5,27.8,26.4,28.5,33.1,31.9
2019-09-15-07,-999.0,-999.0,28.8,26.9,-999.0,-999.0,-999.0,-999.0
2019-09-15-08,-999.0,-999.0,27.8,27.4,-999.0,-999.0,-999.0,-999.0
2019-09-15-09,27.7,25.5,27.2,26.2,26.0,27.1,29.8,28.8
2019-09-15-10,-999.0,-999.0,26.2,26.3,-999.0,-999.0,-999.0,-999.0
2019-09-15-11,-999.0,-999.0,25.9,26.9,-999.0,-999.0,-999.0,-999.0
2019-09-15-12,24.7,24.6,25.3,27.2,22.6,24.2,27.6,27.3
2019-09-15-13,-999.0,-999.0,25.0,27.4,-999.0,-999.0,-999.0,-999.0
2019-09-15-14,-999.0,-999.0,24.4,27.4,-999.0,-999.0,-999.0,-999.0
2019-09-15-15,22.6,24.4,23.6,27.4,19.1,23.7,26.6,27.1
2019-09-15-16,-999.0,-999.0,22.7,27.5,-999.0,-999.0,-999.0,-999.0
2019-09-15-17,-999.0,-999.0,22.3,27.3,-999.0,-999.0,-999.0,-999.0
2019-09-15-18,21.5,24.0,22.2,27.2,16.7,23.2,26.2,26.3
2019-09-15-19,-999.0,-999.0,21.7,27.1,-999.0,-999.0,-999.0,-999.0
2019-09-15-20,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-09-15-21,21.0,23.8,21.5,26.9,18.1,23.5,25.5,26.0
2019-09-15-22,-999.0,-999.0,21.6,27.1,-999.0,-999.0,-999.0,-999.0
2019-09-15-23,-999.0,-999.0,21.8,28.1,-999.0,-999.0,-999.0,-999.0
