,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-08-23-00,25.2,27.7,25.3,28.4,24.3,28.7,29.6,29.2
2019-08-23-01,-999.0,-999.0,25.6,30.5,-999.0,-999.0,-999.0,-999.0
2019-08-23-02,-999.0,-999.0,25.9,31.3,-999.0,-999.0,-999.0,-999.0
2019-08-23-03,28.2,28.5,26.6,31.2,28.5,31.0,31.1,31.4
2019-08-23-04,-999.0,-999.0,27.4,31.9,-999.0,-999.0,-999.0,-999.0
2019-08-23-05,-999.0,-999.0,27.9,31.6,-999.0,-999.0,-999.0,-999.0
2019-08-23-06,30.1,28.5,27.6,31.4,30.2,31.2,32.9,32.7
2019-08-23-07,-999.0,-999.0,26.7,30.7,-999.0,-999.0,-999.0,-999.0
2019-08-23-08,-999.0,-999.0,26.5,30.7,-999.0,-999.0,-999.0,-999.0
2019-08-23-09,28.5,27.7,24.9,30.1,28.2,29.2,32.3,33.3
2019-08-23-10,-999.0,-999.0,24.7,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-23-11,-999.0,-999.0,25.0,29.3,-999.0,-999.0,-999.0,-999.0
2019-08-23-12,25.5,27.0,25.5,29.2,25.8,28.0,29.5,30.1
2019-08-23-13,-999.0,-999.0,25.3,29.2,-999.0,-999.0,-999.0,-999.0
2019-08-23-14,-999.0,-999.0,25.0,29.1,-999.0,-999.0,-999.0,-999.0
2019-08-23-15,23.7,26.5,24.5,29.1,24.1,28.0,28.8,29.4
2019-08-23-16,-999.0,-999.0,24.8,29.1,-999.0,-999.0,-999.0,-999.0
2019-08-23-17,-999.0,-999.0,25.2,29.0,-999.0,-999.0,-999.0,-999.0
2019-08-23-18,21.7,25.5,25.0,28.8,23.0,27.2,28.8,29.5
2019-08-23-19,-999.0,-999.0,25.0,28.7,-999.0,-999.0,-999.0,-999.0
2019-08-23-20,-999.0,-999.0,24.8,28.8,-999.0,-999.0,-999.0,-999.0
2019-08-23-21,21.5,25.3,24.1,28.7,20.1,27.0,28.2,29.1
2019-08-23-22,-999.0,-999.0,25.1,28.8,-999.0,-999.0,-999.0,-999.0
2019-08-23-23,-999.0,-999.0,26.3,29.9,-999.0,-999.0,-999.0,-999.0
