,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-01-21-00,-5.2,5.2,6.0,17.0,0.6,2.0,8.9,11.1
2019-01-21-01,-999.0,-999.0,7.4,17.2,-999.0,-999.0,-999.0,-999.0
2019-01-21-02,-999.0,-999.0,8.6,17.1,-999.0,-999.0,-999.0,-999.0
2019-01-21-03,0.5,7.3,9.1,17.4,5.4,6.5,10.0,13.8
2019-01-21-04,-999.0,-999.0,9.7,17.6,-999.0,-999.0,-999.0,-999.0
2019-01-21-05,-999.0,-999.0,9.7,17.6,-999.0,-999.0,-999.0,-999.0
2019-01-21-06,3.0,7.7,8.6,17.3,8.5,8.5,10.8,16.3
2019-01-21-07,-999.0,-999.0,8.2,17.1,-999.0,-999.0,-999.0,-999.0
2019-01-21-08,-999.0,-999.0,7.4,16.9,-999.0,-999.0,-999.0,-999.0
2019-01-21-09,3.5,7.2,6.1,16.6,6.6,7.2,10.0,15.4
2019-01-21-10,-999.0,-999.0,5.9,16.6,-999.0,-999.0,-999.0,-999.0
2019-01-21-11,-999.0,-999.0,5.7,16.9,-999.0,-999.0,-999.0,-999.0
2019-01-21-12,2.0,7.0,3.5,16.8,3.1,2.2,10.2,13.2
2019-01-21-13,-999.0,-999.0,3.5,16.7,-999.0,-999.0,-999.0,-999.0
2019-01-21-14,-999.0,-999.0,3.1,16.7,-999.0,-999.0,-999.0,-999.0
2019-01-21-15,-0.7,6.3,3.1,16.5,-2.0,0.7,9.7,12.2
2019-01-21-16,-999.0,-999.0,2.8,16.4,-999.0,-999.0,-999.0,-999.0
2019-01-21-17,-999.0,-999.0,2.8,-999.0,-999.0,-999.0,-999.0,-999.0
2019-01-21-18,-1.7,6.5,1.8,16.3,-5.2,-0.9,9.3,11.7
2019-01-21-19,-999.0,-999.0,1.3,16.0,-999.0,-999.0,-999.0,-999.0
2019-01-21-20,-999.0,-999.0,0.8,16.2,-999.0,-999.0,-999.0,-999.0
2019-01-21-21,-2.9,7.5,0.3,16.3,4.8,-0.4,8.5,10.6
2019-01-21-22,-999.0,-999.0,0.6,16.3,-999.0,-999.0,-999.0,-999.0
2019-01-21-23,-999.0,-999.0,2.0,16.3,-999.0,-999.0,-999.0,-999.0
