,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-04-10-00,6.5,10.2,6.1,25.1,9.5,10.2,25.0,23.6
2019-04-10-01,-999.0,-999.0,6.0,25.0,-999.0,-999.0,-999.0,-999.0
2019-04-10-02,-999.0,-999.0,5.7,25.3,-999.0,-999.0,-999.0,-999.0
2019-04-10-03,7.0,10.3,5.3,21.6,14.2,10.5,-999.0,29.3
2019-04-10-04,-999.0,-999.0,5.0,21.9,-999.0,-999.0,-999.0,-999.0
2019-04-10-05,-999.0,-999.0,4.9,21.4,-999.0,-999.0,-999.0,-999.0
2019-04-10-06,8.7,10.1,4.5,21.0,16.9,12.0,20.7,31.6
2019-04-10-07,-999.0,-999.0,4.4,-999.0,-999.0,-999.0,-999.0,-999.0
2019-04-10-08,-999.0,-999.0,4.6,20.0,-999.0,-999.0,-999.0,-999.0
2019-04-10-09,10.0,9.9,4.1,19.8,17.8,12.0,16.3,28.2
2019-04-10-10,-999.0,-999.0,3.9,19.7,-999.0,-999.0,-999.0,-999.0
2019-04-10-11,-999.0,-999.0,3.8,19.8,-999.0,-999.0,-999.0,-999.0
2019-04-10-12,8.5,10.0,4.1,19.8,15.2,11.1,14.9,19.4
2019-04-10-13,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-04-10-14,-999.0,-999.0,3.9,20.0,-999.0,-999.0,-999.0,-999.0
2019-04-10-15,6.5,9.8,4.5,19.9,13.3,10.5,14.8,18.0
2019-04-10-16,-999.0,-999.0,4.7,20.0,-999.0,-999.0,-999.0,-999.0
2019-04-10-17,-999.0,-999.0,5.1,20.0,-999.0,-999.0,-999.0,-999.0
2019-04-10-18,5.0,10.1,5.2,19.9,11.7,10.2,14.4,17.3
2019-04-10-19,-999.0,-999.0,5.3,19.9,-999.0,-999.0,-999.0,-999.0
2019-04-10-20,-999.0,-999.0,5.4,19.9,-999.0,-999.0,-999.0,-999.0
2019-04-10-21,4.2,10.2,6.2,19.9,10.9,10.5,13.9,16.5
2019-04-10-22,-999.0,-999.0,8.0,20.1,-999.0,-999.0,-999.0,-999.0
2019-04-10-23,-999.0,-999.0,10.9,20.2,-999.0,-999.0,-999.0,-999.0
