,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-01-16-00,-9.0,2.6,7.8,18.3,-11.2,2.2,9.6,12.8
2019-01-16-01,-999.0,-999.0,9.2,18.0,-999.0,-999.0,-999.0,-999.0
2019-01-16-02,-999.0,-999.0,10.6,17.9,-999.0,-999.0,-999.0,-999.0
2019-01-16-03,-4.5,3.3,10.7,17.9,-1.5,3.7,10.4,13.8
2019-01-16-04,-999.0,-999.0,10.8,16.9,-999.0,-999.0,-999.0,-999.0
2019-01-16-05,-999.0,-999.0,10.7,16.2,-999.0,-999.0,-999.0,-999.0
2019-01-16-06,-1.9,3.4,9.7,16.7,1.8,4.7,10.2,14.5
2019-01-16-07,-999.0,-999.0,9.3,16.6,-999.0,-999.0,-999.0,-999.0
2019-01-16-08,-999.0,-999.0,8.4,16.3,-999.0,-999.0,-999.0,-999.0
2019-01-16-09,-3.2,3.4,7.8,15.9,0.6,4.2,9.9,14.0
2019-01-16-10,-999.0,-999.0,7.3,15.5,-999.0,-999.0,-999.0,-999.0
2019-01-16-11,-999.0,-999.0,6.8,15.1,-999.0,-999.0,-999.0,-999.0
2019-01-16-12,-3.0,3.2,6.1,15.2,-2.9,3.6,9.8,14.1
2019-01-16-13,-999.0,-999.0,5.4,15.5,-999.0,-999.0,-999.0,-999.0
2019-01-16-14,-999.0,-999.0,5.3,15.0,-999.0,-999.0,-999.0,-999.0
2019-01-16-15,-2.5,4.0,4.9,14.9,-6.6,2.7,9.9,13.6
2019-01-16-16,-999.0,-999.0,4.6,14.8,-999.0,-999.0,-999.0,-999.0
2019-01-16-17,-999.0,-999.0,4.4,14.6,-999.0,-999.0,-999.0,-999.0
2019-01-16-18,-2.2,4.5,4.3,14.4,-9.0,0.2,9.4,13.4
2019-01-16-19,-999.0,-999.0,4.2,14.3,-999.0,-999.0,-999.0,-999.0
2019-01-16-20,-999.0,-999.0,3.2,14.6,-999.0,-999.0,-999.0,-999.0
2019-01-16-21,-2.0,4.6,2.8,14.8,-10.3,-1.5,9.1,11.9
2019-01-16-22,-999.0,-999.0,2.2,15.0,-999.0,-999.0,-999.0,-999.0
2019-01-16-23,-999.0,-999.0,2.8,15.0,-999.0,-999.0,-999.0,-999.0
