UTC,首爾,東京,北京
2019-12-30-00,3.11578369140625,7.606964111328125,-11.141998291015625
2019-12-30-01,5.002838134765625,7.82476806640625,-10.433441162109375
2019-12-30-02,6.373291015625,8.091644287109375,-9.3841552734375
2019-12-30-03,7.05670166015625,9.38690185546875,-8.36090087890625
2019-12-30-04,5.981658935546875,9.753082275390625,-7.384185791015625
2019-12-30-05,5.7513427734375,10.2685546875,-6.692962646484375
2019-12-30-06,5.546112060546875,11.266510009765625,-6.188018798828125
2019-12-30-07,4.654998779296875,11.694549560546875,-5.989044189453125
2019-12-30-08,2.434326171875,11.30767822265625,-6.23345947265625
2019-12-30-09,-0.022186279296875,10.93572998046875,-7.027618408203125
2019-12-30-10,-2.2501220703125,10.673370361328125,-8.07415771484375
2019-12-30-11,-3.726348876953125,10.798004150390625,-8.844757080078125
2019-12-30-12,-4.561492919921875,11.267333984375,-9.228515625
2019-12-30-13,-5.344486083984376,11.233320312500002,-9.474160156249999
2019-12-30-14,-6.617197265624999,11.561868591308594,-9.769747314453125
2019-12-30-15,-7.465827941894531,11.417442321777344,-10.030776977539062
2019-12-30-16,-8.217877197265626,11.114553833007813,-10.135724792480469
2019-12-30-17,-9.011348266601562,10.938377685546875,-10.082355346679687
2019-12-30-18,-9.881301879882812,10.656082153320312,-9.972183227539062
2019-12-30-19,-10.705143432617188,10.381890258789063,-9.895388183593749
2019-12-30-20,-11.168063659667968,9.818523254394531,-9.768500061035157
2019-12-30-21,-11.557479858398438,9.584938049316406,-9.609977722167969
2019-12-30-22,-11.89641143798828,9.583876037597657,-9.483016357421874
2019-12-30-23,-12.19006591796875,11.211452636718752,-9.41866455078125
