,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-09-17-00,358.0,50.0,30.0,10.0,220.0,20.0,340.0,40.0
2019-09-17-01,-999.0,-999.0,20.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-09-17-02,-999.0,-999.0,60.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-09-17-03,5.0,50.0,50.0,10.0,180.0,90.0,70.0,20.0
2019-09-17-04,-999.0,-999.0,100.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-09-17-05,-999.0,-999.0,90.0,360.0,-999.0,-999.0,-999.0,-999.0
2019-09-17-06,60.0,50.0,70.0,10.0,220.0,40.0,160.0,20.0
2019-09-17-07,-999.0,-999.0,80.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-09-17-08,-999.0,-999.0,60.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-09-17-09,279.0,70.0,70.0,10.0,220.0,20.0,70.0,110.0
2019-09-17-10,-999.0,-999.0,60.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-09-17-11,-999.0,-999.0,80.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-09-17-12,293.0,160.0,60.0,20.0,290.0,40.0,70.0,70.0
2019-09-17-13,-999.0,-999.0,30.0,20.0,-999.0,-999.0,-999.0,-999.0
2019-09-17-14,-999.0,-999.0,30.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-09-17-15,195.0,180.0,10.0,10.0,340.0,20.0,340.0,70.0
2019-09-17-16,-999.0,-999.0,40.0,20.0,-999.0,-999.0,-999.0,-999.0
2019-09-17-17,-999.0,-999.0,20.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-09-17-18,230.0,160.0,10.0,30.0,40.0,40.0,340.0,20.0
2019-09-17-19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-09-17-20,-999.0,-999.0,20.0,20.0,-999.0,-999.0,-999.0,-999.0
2019-09-17-21,233.0,160.0,10.0,20.0,90.0,20.0,290.0,360.0
2019-09-17-22,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-09-17-23,-999.0,-999.0,30.0,20.0,-999.0,-999.0,-999.0,-999.0
