,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-07-25-00,171.0,50.0,310.0,180.0,220.0,270.0,270.0,220.0
2019-07-25-01,-999.0,-999.0,30.0,220.0,-999.0,-999.0,-999.0,-999.0
2019-07-25-02,-999.0,-999.0,130.0,220.0,-999.0,-999.0,-999.0,-999.0
2019-07-25-03,197.0,20.0,140.0,210.0,180.0,360.0,270.0,290.0
2019-07-25-04,-999.0,-999.0,150.0,250.0,-999.0,-999.0,-999.0,-999.0
2019-07-25-05,-999.0,-999.0,150.0,260.0,-999.0,-999.0,-999.0,-999.0
2019-07-25-06,212.0,20.0,140.0,260.0,200.0,140.0,160.0,160.0
2019-07-25-07,-999.0,-999.0,150.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-07-25-08,-999.0,-999.0,150.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-07-25-09,211.0,20.0,150.0,290.0,200.0,160.0,140.0,200.0
2019-07-25-10,-999.0,-999.0,180.0,240.0,-999.0,-999.0,-999.0,-999.0
2019-07-25-11,-999.0,-999.0,180.0,190.0,-999.0,-999.0,-999.0,-999.0
2019-07-25-12,193.0,290.0,180.0,180.0,20.0,180.0,160.0,220.0
2019-07-25-13,-999.0,-999.0,180.0,160.0,-999.0,-999.0,-999.0,-999.0
2019-07-25-14,-999.0,-999.0,190.0,180.0,-999.0,-999.0,-999.0,-999.0
2019-07-25-15,211.0,140.0,180.0,180.0,90.0,180.0,220.0,200.0
2019-07-25-16,-999.0,-999.0,190.0,220.0,-999.0,-999.0,-999.0,-999.0
2019-07-25-17,-999.0,-999.0,190.0,240.0,-999.0,-999.0,-999.0,-999.0
2019-07-25-18,204.0,360.0,180.0,220.0,70.0,180.0,250.0,250.0
2019-07-25-19,-999.0,-999.0,190.0,200.0,-999.0,-999.0,-999.0,-999.0
2019-07-25-20,-999.0,-999.0,180.0,250.0,-999.0,-999.0,-999.0,-999.0
2019-07-25-21,211.0,270.0,190.0,170.0,40.0,200.0,320.0,250.0
2019-07-25-22,-999.0,-999.0,180.0,130.0,-999.0,-999.0,-999.0,-999.0
2019-07-25-23,-999.0,-999.0,180.0,-999.0,-999.0,-999.0,-999.0,-999.0
