,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-07-31-00,239.0,50.0,220.0,90.0,20.0,180.0,20.0,250.0
2019-07-31-01,-999.0,-999.0,160.0,100.0,-999.0,-999.0,-999.0,-999.0
2019-07-31-02,-999.0,-999.0,150.0,100.0,-999.0,-999.0,-999.0,-999.0
2019-07-31-03,34.0,20.0,140.0,110.0,70.0,180.0,70.0,160.0
2019-07-31-04,-999.0,-999.0,150.0,80.0,-999.0,-999.0,-999.0,-999.0
2019-07-31-05,-999.0,-999.0,170.0,100.0,-999.0,-999.0,-999.0,-999.0
2019-07-31-06,56.0,20.0,160.0,100.0,90.0,140.0,110.0,140.0
2019-07-31-07,-999.0,-999.0,150.0,90.0,-999.0,-999.0,-999.0,-999.0
2019-07-31-08,-999.0,-999.0,140.0,90.0,-999.0,-999.0,-999.0,-999.0
2019-07-31-09,262.0,20.0,170.0,80.0,180.0,140.0,90.0,110.0
2019-07-31-10,-999.0,-999.0,150.0,90.0,-999.0,-999.0,-999.0,-999.0
2019-07-31-11,-999.0,-999.0,180.0,110.0,-999.0,-999.0,-999.0,-999.0
2019-07-31-12,209.0,290.0,180.0,110.0,200.0,160.0,90.0,140.0
2019-07-31-13,-999.0,-999.0,160.0,90.0,-999.0,-999.0,-999.0,-999.0
2019-07-31-14,-999.0,-999.0,150.0,90.0,-999.0,-999.0,-999.0,-999.0
2019-07-31-15,311.0,110.0,170.0,80.0,220.0,160.0,340.0,110.0
2019-07-31-16,-999.0,-999.0,170.0,90.0,-999.0,-999.0,-999.0,-999.0
2019-07-31-17,-999.0,-999.0,160.0,80.0,-999.0,-999.0,-999.0,-999.0
2019-07-31-18,278.0,200.0,180.0,60.0,250.0,180.0,40.0,70.0
2019-07-31-19,-999.0,-999.0,230.0,50.0,-999.0,-999.0,-999.0,-999.0
2019-07-31-20,-999.0,-999.0,250.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-07-31-21,101.0,200.0,260.0,50.0,70.0,160.0,360.0,90.0
2019-07-31-22,-999.0,-999.0,320.0,70.0,-999.0,-999.0,-999.0,-999.0
2019-07-31-23,-999.0,-999.0,340.0,70.0,-999.0,-999.0,-999.0,-999.0
