,基隆,汐止,萬里,新店,土城,板橋,新莊,菜寮,林口,淡水,士林,中山,萬華,古亭,松山,桃園,大園,觀音,平鎮,龍潭,陽明,富貴角,豐原,沙鹿,大里,忠明,西屯,彰化,線西,二林,南投,竹山,埔里,湖口,竹東,新竹,頭份,苗栗,三義,斗六,崙背,新港,朴子,台西,嘉義,新營,善化,安南,台南,麥寮,美濃,橋頭,仁武,大寮,林園,楠梓,左營,前金,前鎮,小港,屏東,潮州,恆春,宜蘭,冬山,台東,花蓮,關山,金門,馬公,馬祖
2019-06-16-12,14.0,20.0,13.0,16.0,17.0,15.0,15,10.0,15.0,12.0,8.0,21.0,-999,-999,10.0,24.0,19.0,28.0,27.0,15.0,10,12.0,35.0,31.0,22.0,34.0,31.0,38.0,44.0,37.0,21.0,29.0,12.0,27,-999,30.0,34.0,39.0,35.0,21.0,41.0,33.0,29.0,44,19.0,30.0,16.0,25.0,27.0,41.0,27.0,33.0,41.0,18.0,20.0,31.0,26.0,22.0,10.0,12.0,20.0,28.0,-999,14.0,10.0,11.0,14.0,12.0,28.0,13.0,27.0
2019-06-16-13,10.0,15.0,11.0,15.0,14.0,16.0,13,13.0,16.0,11.0,17.0,22.0,-999,-999,11.0,21.0,21.0,22.0,20.0,28.0,15,16.0,45.0,25.0,24.0,47.0,37.0,40.0,23.0,31.0,26.0,29.0,12.0,22,-999,28.0,36.0,41.0,38.0,25.0,28.0,33.0,27.0,32,22.0,26.0,28.0,22.0,28.0,31.0,25.0,14.0,38.0,20.0,18.0,26.0,29.0,19.0,12.0,13.0,16.0,23.0,-999,14.0,15.0,11.0,5.0,13.0,26.0,13.0,18.0
2019-06-16-14,11.0,16.0,8.0,17.0,13.0,16.0,13,16.0,15.0,12.0,8.0,26.0,-999,-999,12.0,26.0,18.0,23.0,29.0,35.0,2,17.0,45.0,17.0,30.0,43.0,37.0,35.0,15.0,33.0,31.0,43.0,18.0,23,-999,28.0,33.0,39.0,34.0,32.0,20.0,36.0,22.0,21,31.0,18.0,35.0,26.0,26.0,21.0,14.0,20.0,26.0,19.0,6.0,22.0,26.0,16.0,9.0,6.0,11.0,17.0,-999,12.0,18.0,14.0,2.0,17.0,24.0,12.0,15.0
2019-06-16-15,12.0,14.0,7.0,15.0,18.0,19.0,13,13.0,16.0,12.0,11.0,21.0,-999,-999,14.0,24.0,20.0,19.0,25.0,34.0,38,16.0,36.0,14.0,30.0,35.0,33.0,25.0,17.0,31.0,31.0,49.0,29.0,26,-999,29.0,29.0,30.0,30.0,32.0,17.0,30.0,25.0,17,27.0,23.0,35.0,30.0,22.0,15.0,6.0,16.0,10.0,13.0,5.0,14.0,18.0,11.0,7.0,7.0,4.0,8.0,-999,9.0,12.0,12.0,6.0,13.0,20.0,8.0,19.0
2019-06-16-16,10.0,14.0,11.0,14.0,19.0,21.0,-999,11.0,11.0,12.0,13.0,20.0,-999,-999,11.0,25.0,14.0,11.0,20.0,26.0,12,18.0,31.0,12.0,34.0,20.0,26.0,16.0,21.0,25.0,24.0,36.0,36.0,25,-999,24.0,21.0,23.0,26.0,21.0,17.0,27.0,29.0,19,28.0,19.0,34.0,27.0,22.0,14.0,4.0,4.0,1.0,7.0,4.0,11.0,14.0,8.0,1.0,1.0,8.0,12.0,-999,11.0,10.0,12.0,11.0,10.0,20.0,7.0,19.0
2019-06-16-17,12.0,17.0,11.0,12.0,19.0,18.0,15,12.0,10.0,8.0,13.0,23.0,-999,-999,14.0,17.0,15.0,12.0,18.0,22.0,4,15.0,20.0,9.0,29.0,21.0,26.0,14.0,24.0,22.0,22.0,29.0,31.0,19,-999,18.0,15.0,21.0,16.0,21.0,20.0,11.0,25.0,19,8.0,17.0,27.0,19.0,20.0,14.0,4.0,5.0,1.0,4.0,9.0,8.0,6.0,5.0,1.0,5.0,2.0,8.0,-999,14.0,20.0,11.0,11.0,13.0,17.0,11.0,15.0
2019-06-16-18,10.0,14.0,7.0,9.0,19.0,17.0,14,9.0,11.0,7.0,6.0,22.0,-999,-999,17.0,13.0,11.0,13.0,19.0,17.0,1,12.0,26.0,11.0,26.0,24.0,20.0,12.0,29.0,18.0,15.0,24.0,28.0,16,-999,14.0,17.0,31.0,17.0,27.0,24.0,18.0,18.0,21,11.0,19.0,21.0,9.0,18.0,12.0,4.0,8.0,1.0,4.0,8.0,3.0,6.0,13.0,1.0,7.0,11.0,14.0,-999,16.0,23.0,11.0,4.0,15.0,16.0,16.0,12.0
2019-06-16-19,11.0,10.0,7.0,9.0,15.0,17.0,15,9.0,8.0,9.0,3.0,18.0,16,-999,17.0,14.0,12.0,24.0,30.0,20.0,9,15.0,23.0,11.0,23.0,30.0,24.0,13.0,27.0,20.0,11.0,21.0,26.0,15,-999,13.0,17.0,39.0,25.0,44.0,21.0,19.0,7.0,-999,11.0,23.0,19.0,14.0,15.0,16.0,4.0,7.0,5.0,4.0,6.0,2.0,1.0,13.0,2.0,5.0,20.0,9.0,-999,14.0,18.0,13.0,5.0,18.0,20.0,15.0,11.0
2019-06-16-20,9.0,11.0,8.0,14.0,11.0,17.0,12,10.0,11.0,7.0,12.0,14.0,16,-999,23.0,19.0,20.0,22.0,29.0,32.0,12,15.0,22.0,11.0,19.0,26.0,26.0,11.0,18.0,18.0,11.0,18.0,23.0,16,-999,19.0,22.0,35.0,21.0,34.0,19.0,26.0,12.0,26,18.0,23.0,19.0,12.0,10.0,19.0,3.0,8.0,5.0,1.0,7.0,6.0,4.0,9.0,1.0,1.0,18.0,8.0,-999,12.0,18.0,12.0,12.0,17.0,19.0,15.0,12.0
2019-06-16-21,9.0,9.0,6.0,15.0,13.0,17.0,10,6.0,13.0,7.0,18.0,9.0,17,-999,16.0,21.0,17.0,25.0,28.0,33.0,10,18.0,18.0,10.0,16.0,19.0,24.0,8.0,17.0,13.0,11.0,17.0,23.0,20,-999,27.0,32.0,23.0,15.0,38.0,10.0,24.0,15.0,23,8.0,16.0,20.0,18.0,7.0,15.0,7.0,13.0,12.0,5.0,8.0,10.0,1.0,1.0,2.0,7.0,19.0,6.0,-999,12.0,15.0,11.0,18.0,13.0,15.0,15.0,14.0
