,基隆,汐止,萬里,新店,土城,板橋,新莊,菜寮,林口,淡水,士林,中山,萬華,古亭,松山,桃園,大園,觀音,平鎮,龍潭,陽明,富貴角,豐原,沙鹿,大里,忠明,西屯,彰化,線西,二林,南投,竹山,埔里,湖口,竹東,新竹,頭份,苗栗,三義,斗六,崙背,新港,朴子,台西,嘉義,新營,善化,安南,台南,麥寮,美濃,橋頭,仁武,大寮,林園,楠梓,左營,前金,前鎮,小港,屏東,潮州,恆春,宜蘭,冬山,台東,花蓮,關山,金門,馬公,馬祖
2019-01-01-00,2.0,7.0,7.0,5.0,2.0,9.0,4.0,1.0,1.0,7.0,7.0,7.0,8.0,10.0,1.0,1.0,11.0,13.0,11.0,12.0,1,10.0,7,12.0,6.0,3.0,1.0,18,9.0,7.0,13.0,24.0,28.0,8.0,7.0,13.0,2.0,4.0,41.0,20.0,12.0,4.0,6.0,15.0,18.0,8.0,2.0,1.0,17.0,5.0,23.0,15.0,10.0,28.0,30.0,26.0,18.0,25.0,27.0,27.0,26.0,37.0,6.0,5.0,1.0,7.0,1.0,4.0,10.0,6.0,18.0
2019-01-01-01,1.0,3.0,6.0,3.0,8.0,7.0,2.0,1.0,3.0,3.0,1.0,7.0,13.0,4.0,1.0,1.0,7.0,11.0,16.0,8.0,1,5.0,3,12.0,7.0,1.0,1.0,-999,7.0,7.0,14.0,25.0,28.0,9.0,5.0,11.0,2.0,6.0,44.0,16.0,14.0,3.0,9.0,21.0,16.0,11.0,13.0,9.0,20.0,4.0,21.0,20.0,15.0,28.0,32.0,23.0,18.0,25.0,27.0,20.0,29.0,36.0,7.0,7.0,1.0,5.0,1.0,7.0,12.0,4.0,17.0
2019-01-01-02,1.0,1.0,10.0,1.0,7.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,9.0,4.0,11.0,10.0,8.0,1,3.0,5,3.0,6.0,1.0,8.0,-999,5.0,7.0,10.0,21.0,28.0,12.0,7.0,6.0,3.0,9.0,1.0,15.0,12.0,7.0,9.0,20.0,13.0,9.0,13.0,5.0,14.0,4.0,22.0,20.0,16.0,28.0,30.0,26.0,6.0,23.0,23.0,24.0,42.0,32.0,8.0,5.0,1.0,1.0,1.0,7.0,12.0,8.0,15.0
2019-01-01-03,1.0,2.0,9.0,3.0,4.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,5.0,6.0,1.0,9.0,2.0,10.0,3.0,1.0,1,5.0,11,3.0,2.0,1.0,8.0,-999,6.0,7.0,8.0,20.0,26.0,10.0,5.0,8.0,3.0,8.0,6.0,12.0,10.0,8.0,4.0,19.0,10.0,9.0,17.0,8.0,15.0,3.0,15.0,18.0,19.0,24.0,29.0,19.0,10.0,23.0,23.0,21.0,44.0,30.0,8.0,3.0,1.0,5.0,1.0,4.0,13.0,8.0,15.0
2019-01-01-04,2.0,2.0,7.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,5.0,1.0,6.0,5.0,13.0,3.0,3.0,1,7.0,11,2.0,1.0,2.0,7.0,12,6.0,9.0,11.0,13.0,22.0,6.0,3.0,8.0,2.0,6.0,10.0,16.0,11.0,13.0,7.0,9.0,10.0,8.0,13.0,1.0,10.0,6.0,15.0,14.0,23.0,23.0,25.0,23.0,10.0,32.0,19.0,26.0,46.0,26.0,8.0,5.0,1.0,15.0,1.0,7.0,12.0,6.0,16.0
2019-01-01-05,2.0,1.0,7.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,3.0,2.0,1.0,5.0,13.0,6.0,3.0,1,5.0,8,2.0,5.0,2.0,2.0,9,6.0,9.0,11.0,12.0,22.0,6.0,4.0,4.0,1.0,5.0,2.0,18.0,10.0,9.0,7.0,5.0,14.0,11.0,9.0,6.0,15.0,7.0,19.0,17.0,29.0,26.0,24.0,17.0,15.0,22.0,25.0,20.0,35.0,23.0,7.0,5.0,1.0,8.0,1.0,7.0,10.0,8.0,16.0
2019-01-01-06,5.0,1.0,10.0,1.0,9.0,4.0,2.0,1.0,1.0,1.0,6.0,4.0,1.0,3.0,2.0,1.0,7.0,12.0,6.0,2.0,3,8.0,7,2.0,11.0,5.0,3.0,4,7.0,10.0,15.0,17.0,21.0,6.0,6.0,4.0,3.0,4.0,2.0,16.0,9.0,11.0,8.0,5.0,14.0,10.0,10.0,5.0,15.0,5.0,22.0,22.0,32.0,25.0,27.0,18.0,15.0,18.0,21.0,22.0,27.0,20.0,7.0,2.0,1.0,7.0,1.0,6.0,10.0,10.0,14.0
2019-01-01-07,5.0,2.0,9.0,2.0,7.0,4.0,4.0,1.0,1.0,1.0,1.0,7.0,3.0,3.0,3.0,9.0,5.0,8.0,3.0,1.0,3,9.0,7,3.0,11.0,1.0,1.0,3,7.0,13.0,17.0,22.0,21.0,5.0,10.0,8.0,4.0,5.0,5.0,12.0,10.0,9.0,5.0,6.0,15.0,9.0,19.0,8.0,14.0,6.0,17.0,25.0,35.0,24.0,25.0,25.0,20.0,14.0,28.0,26.0,22.0,23.0,8.0,3.0,2.0,5.0,1.0,5.0,10.0,9.0,14.0
2019-01-01-08,4.0,4.0,7.0,2.0,7.0,4.0,4.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,6.0,9.0,5.0,12.0,9.0,2.0,2,9.0,12,4.0,14.0,3.0,4.0,3,4.0,10.0,13.0,19.0,23.0,1.0,5.0,8.0,4.0,8.0,3.0,22.0,14.0,9.0,7.0,5.0,11.0,6.0,20.0,6.0,13.0,8.0,26.0,24.0,27.0,29.0,35.0,27.0,21.0,26.0,28.0,27.0,26.0,20.0,8.0,4.0,6.0,2.0,3.0,7.0,10.0,4.0,15.0
2019-01-01-09,5.0,2.0,10.0,1.0,7.0,6.0,1.0,3.0,2.0,3.0,1.0,4.0,4.0,3.0,7.0,9.0,9.0,12.0,16.0,1.0,1,7.0,8,2.0,7.0,1.0,8.0,1,4.0,10.0,12.0,19.0,25.0,1.0,2.0,7.0,2.0,10.0,1.0,19.0,13.0,15.0,2.0,7.0,22.0,10.0,20.0,6.0,9.0,10.0,21.0,23.0,28.0,33.0,36.0,27.0,22.0,34.0,34.0,32.0,34.0,27.0,8.0,4.0,1.0,2.0,1.0,11.0,11.0,4.0,13.0
2019-01-01-10,4.0,2.0,11.0,3.0,8.0,6.0,1.0,2.0,1.0,1.0,1.0,7.0,2.0,5.0,8.0,1.0,5.0,12.0,19.0,6.0,1,10.0,8,6.0,7.0,4.0,7.0,1,6.0,5.0,13.0,20.0,21.0,4.0,4.0,9.0,2.0,5.0,2.0,19.0,11.0,13.0,3.0,17.0,12.0,6.0,10.0,5.0,13.0,7.0,22.0,32.0,32.0,37.0,44.0,26.0,27.0,38.0,35.0,41.0,36.0,23.0,7.0,2.0,1.0,5.0,1.0,11.0,11.0,7.0,14.0
2019-01-01-11,2.0,6.0,8.0,4.0,7.0,5.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,6.0,4.0,1.0,6.0,13.0,10.0,6.0,1,8.0,5,7.0,3.0,11.0,4.0,6,9.0,10.0,12.0,20.0,14.0,4.0,4.0,6.0,3.0,4.0,4.0,15.0,14.0,16.0,3.0,16.0,10.0,11.0,5.0,5.0,12.0,9.0,19.0,31.0,43.0,44.0,45.0,34.0,35.0,35.0,37.0,37.0,31.0,28.0,6.0,1.0,1.0,3.0,1.0,10.0,8.0,7.0,15.0
2019-01-01-12,2.0,5.0,8.0,1.0,8.0,9.0,2.0,4.0,4.0,6.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,10.0,3.0,6.0,3,6.0,2,5.0,1.0,11.0,1.0,15,11.0,7.0,12.0,25.0,11.0,4.0,3.0,8.0,1.0,10.0,5.0,22.0,19.0,10.0,11.0,9.0,7.0,11.0,8.0,9.0,15.0,10.0,24.0,28.0,42.0,48.0,60.0,40.0,34.0,34.0,37.0,45.0,31.0,30.0,8.0,5.0,1.0,3.0,1.0,11.0,8.0,10.0,16.0
2019-01-01-13,5.0,4.0,11.0,1.0,3.0,2.0,2.0,3.0,3.0,7.0,1.0,1.0,1.0,6.0,7.0,4.0,2.0,10.0,1.0,2.0,-999,6.0,2,12.0,1.0,5.0,5.0,11,13.0,13.0,12.0,28.0,11.0,6.0,4.0,11.0,1.0,11.0,4.0,24.0,22.0,15.0,13.0,12.0,13.0,15.0,13.0,13.0,14.0,10.0,31.0,31.0,40.0,48.0,48.0,39.0,28.0,30.0,46.0,36.0,43.0,39.0,8.0,9.0,1.0,6.0,1.0,9.0,11.0,14.0,15.0
2019-01-01-14,4.0,3.0,10.0,1.0,3.0,1.0,2.0,1.0,3.0,6.0,1.0,1.0,7.0,4.0,7.0,7.0,1.0,14.0,1.0,1.0,1,5.0,2,14.0,1.0,5.0,3.0,10,15.0,8.0,15.0,29.0,8.0,6.0,9.0,12.0,1.0,8.0,7.0,22.0,21.0,14.0,22.0,9.0,17.0,21.0,23.0,19.0,23.0,12.0,20.0,24.0,37.0,48.0,41.0,31.0,26.0,30.0,38.0,44.0,50.0,45.0,7.0,5.0,1.0,9.0,1.0,7.0,12.0,11.0,15.0
2019-01-01-15,4.0,1.0,9.0,1.0,7.0,1.0,1.0,1.0,3.0,3.0,1.0,7.0,11.0,2.0,8.0,6.0,1.0,9.0,1.0,3.0,1,4.0,4,8.0,3.0,5.0,7.0,9,21.0,13.0,14.0,27.0,10.0,9.0,7.0,11.0,1.0,4.0,9.0,12.0,22.0,21.0,13.0,8.0,15.0,18.0,21.0,19.0,26.0,13.0,13.0,26.0,35.0,42.0,38.0,33.0,27.0,31.0,34.0,34.0,44.0,47.0,7.0,5.0,1.0,8.0,1.0,5.0,10.0,6.0,13.0
2019-01-01-16,4.0,4.0,10.0,2.0,3.0,7.0,1.0,1.0,3.0,4.0,1.0,5.0,9.0,4.0,4.0,9.0,4.0,9.0,1.0,1.0,1,5.0,4,9.0,7.0,7.0,8.0,15,20.0,13.0,12.0,27.0,14.0,8.0,4.0,8.0,3.0,3.0,3.0,9.0,21.0,20.0,13.0,7.0,19.0,16.0,21.0,23.0,25.0,8.0,8.0,27.0,31.0,37.0,35.0,39.0,32.0,36.0,34.0,31.0,38.0,51.0,8.0,5.0,5.0,7.0,1.0,3.0,8.0,6.0,14.0
2019-01-01-17,4.0,1.0,7.0,6.0,5.0,10.0,2.0,1.0,1.0,5.0,1.0,8.0,7.0,3.0,10.0,6.0,3.0,11.0,1.0,6.0,1,7.0,17,11.0,8.0,1.0,13.0,14,11.0,12.0,11.0,25.0,16.0,5.0,6.0,11.0,5.0,5.0,2.0,1.0,20.0,24.0,12.0,3.0,24.0,20.0,15.0,17.0,18.0,7.0,21.0,27.0,28.0,36.0,36.0,38.0,28.0,32.0,19.0,29.0,30.0,53.0,8.0,3.0,7.0,4.0,1.0,3.0,9.0,9.0,19.0
2019-01-01-18,4.0,2.0,8.0,3.0,8.0,9.0,1.0,3.0,1.0,3.0,3.0,8.0,1.0,1.0,5.0,6.0,6.0,10.0,1.0,6.0,1,5.0,15,10.0,4.0,4.0,13.0,14,10.0,13.0,9.0,25.0,18.0,7.0,7.0,9.0,5.0,7.0,3.0,18.0,21.0,20.0,11.0,5.0,20.0,10.0,20.0,19.0,15.0,7.0,17.0,21.0,31.0,34.0,30.0,32.0,27.0,32.0,27.0,25.0,34.0,54.0,7.0,4.0,1.0,4.0,5.0,3.0,8.0,8.0,22.0
2019-01-01-19,4.0,4.0,10.0,1.0,3.0,7.0,1.0,5.0,3.0,4.0,9.0,5.0,7.0,1.0,8.0,1.0,1.0,14.0,3.0,4.0,1,8.0,-999,12.0,3.0,2.0,15.0,15,9.0,10.0,9.0,31.0,20.0,8.0,1.0,8.0,4.0,10.0,4.0,13.0,14.0,21.0,9.0,6.0,22.0,13.0,19.0,13.0,20.0,6.0,16.0,22.0,26.0,29.0,24.0,27.0,28.0,22.0,30.0,29.0,29.0,54.0,6.0,8.0,4.0,3.0,6.0,5.0,7.0,7.0,21.0
2019-01-01-20,5.0,2.0,9.0,5.0,3.0,5.0,3.0,5.0,3.0,6.0,4.0,5.0,1.0,7.0,4.0,7.0,12.0,14.0,3.0,3.0,1,8.0,11,7.0,3.0,2.0,9.0,13,7.0,16.0,9.0,28.0,18.0,11.0,1.0,10.0,3.0,10.0,3.0,20.0,13.0,20.0,4.0,10.0,14.0,14.0,22.0,16.0,22.0,7.0,11.0,21.0,23.0,27.0,30.0,27.0,22.0,28.0,18.0,26.0,34.0,54.0,6.0,7.0,1.0,2.0,1.0,4.0,8.0,10.0,20.0
2019-01-01-21,4.0,3.0,7.0,3.0,7.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,8.0,6.0,6.0,9.0,7.0,14.0,3.0,3.0,2,5.0,11,4.0,8.0,1.0,8.0,10,6.0,10.0,8.0,22.0,14.0,11.0,9.0,6.0,3.0,7.0,9.0,16.0,14.0,16.0,8.0,11.0,22.0,10.0,16.0,9.0,16.0,7.0,17.0,21.0,19.0,29.0,30.0,22.0,25.0,15.0,28.0,29.0,28.0,53.0,6.0,6.0,1.0,1.0,1.0,6.0,10.0,8.0,22.0
2019-01-01-22,2.0,5.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,9.0,9.0,13.0,4.0,8.0,1,3.0,1,4.0,3.0,1.0,3.0,3,7.0,10.0,5.0,21.0,14.0,8.0,9.0,6.0,3.0,8.0,10.0,16.0,14.0,12.0,5.0,7.0,16.0,8.0,17.0,7.0,13.0,8.0,18.0,21.0,19.0,31.0,32.0,22.0,15.0,14.0,21.0,25.0,28.0,42.0,6.0,5.0,5.0,1.0,1.0,7.0,10.0,8.0,20.0
2019-01-01-23,4.0,5.0,5.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,13.0,4.0,7.0,1,5.0,1,3.0,3.0,1.0,3.0,3,8.0,7.0,7.0,20.0,13.0,9.0,7.0,8.0,3.0,6.0,5.0,13.0,13.0,15.0,1.0,5.0,20.0,10.0,15.0,1.0,8.0,7.0,19.0,16.0,24.0,28.0,30.0,16.0,18.0,9.0,19.0,24.0,30.0,34.0,8.0,2.0,1.0,1.0,1.0,7.0,9.0,10.0,21.0
2019-01-02-00,1.0,2,6,2.0,8.0,6.0,3,4.0,1.0,6.0,7,7,1.0,2.0,1.0,5.0,3.0,9.0,4.0,6.0,1.0,5,4.0,2.0,1.0,1.0,1.0,2.0,9,9,8,14,12.0,4.0,11.0,5.0,4,7,1.0,7.0,11,9.0,1.0,7.0,8.0,8.0,11.0,6,9,6.0,15.0,17,17,26,25,18,16.0,14.0,21.0,32.0,24,26.0,8,4,1.0,2.0,2.0,7.0,8.0,11,22.0
2019-01-02-01,1.0,2,5,1.0,10.0,6.0,5,2.0,2.0,5.0,3,6,1.0,4.0,3.0,6.0,7.0,13.0,1.0,2.0,1.0,3,4.0,4.0,1.0,2.0,5.0,8.0,7,7,5,10,11.0,1.0,11.0,6.0,4,9,1.0,9.0,9,9.0,6.0,8.0,8.0,8.0,10.0,3,5,5.0,11.0,15,16,25,27,17,17.0,13.0,21.0,21.0,22,25.0,7,6,1.0,2.0,1.0,7.0,10.0,9,22.0
2019-01-02-02,1.0,2,7,1.0,6.0,5.0,4,1.0,3.0,2.0,3,11,5.0,1.0,1.0,12.0,4.0,12.0,1.0,4.0,1.0,5,5.0,5.0,1.0,4.0,6.0,5.0,5,7,3,5,14.0,1.0,8.0,6.0,4,6,3.0,9.0,8,1.0,10.0,5.0,1.0,12.0,7.0,7,8,5.0,16.0,29,11,22,22,20,19.0,13.0,22.0,25.0,21,23.0,7,6,1.0,3.0,1.0,5.0,11.0,6,24.0
2019-01-02-03,1.0,3,7,1.0,6.0,2.0,4,1.0,3.0,3.0,1,2,9.0,1.0,2.0,8.0,4.0,9.0,1.0,7.0,1.0,4,1.0,4.0,1.0,3.0,9.0,3.0,2,4,2,5,16.0,3.0,7.0,7.0,3,4,5.0,1.0,8,7.0,12.0,5.0,2.0,8.0,7.0,2,8,5.0,14.0,17,7,23,28,19,16.0,9.0,30.0,19.0,25,20.0,7,2,1.0,2.0,1.0,3.0,15.0,7,28.0
2019-01-02-04,2.0,1,7,1.0,5.0,7.0,3,1.0,1.0,5.0,1,1,10.0,2.0,4.0,5.0,2.0,12.0,1.0,4.0,1.0,2,1.0,3.0,8.0,1.0,1.0,2.0,2,7,2,7,14.0,6.0,8.0,5.0,2,4,5.0,5.0,12,10.0,7.0,4.0,2.0,5.0,9.0,7,9,6.0,19.0,16,11,22,24,16,17.0,17.0,21.0,25.0,22,15.0,6,2,1.0,3.0,1.0,3.0,13.0,9,33.0
2019-01-02-05,2.0,1,8,1.0,2.0,7.0,2,1.0,2.0,6.0,2,1,5.0,3.0,4.0,6.0,4.0,9.0,1.0,1.0,3.0,5,1.0,4.0,8.0,1.0,3.0,9.0,4,6,2,9,13.0,5.0,6.0,5.0,1,4,2.0,3.0,14,11.0,7.0,1.0,4.0,7.0,16.0,5,5,6.0,12.0,17,15,24,31,17,16.0,15.0,22.0,27.0,10,10.0,5,5,5.0,5.0,1.0,5.0,10.0,8,34.0
2019-01-02-06,5.0,2,9,1.0,3.0,1.0,3,1.0,3.0,5.0,1,1,5.0,3.0,2.0,6.0,8.0,14.0,1.0,1.0,3.0,5,5.0,3.0,10.0,1.0,2.0,7.0,3,11,2,12,16.0,2.0,3.0,10.0,2,3,2.0,8.0,13,11.0,3.0,3.0,7.0,11.0,20.0,6,2,3.0,12.0,27,24,29,29,24,13.0,14.0,16.0,19.0,13,11.0,5,5,3.0,5.0,1.0,5.0,14.0,8,30.0
2019-01-02-07,4.0,1,9,1.0,8.0,3.0,2,1.0,4.0,1.0,1,4,5.0,2.0,1.0,8.0,4.0,7.0,1.0,1.0,2.0,5,5.0,1.0,5.0,1.0,1.0,7.0,5,7,4,9,18.0,7.0,6.0,9.0,-999,5,2.0,7.0,11,11.0,14.0,4.0,10.0,6.0,14.0,6,8,4.0,25.0,17,30,28,27,20,15.0,13.0,25.0,22.0,18,15.0,7,3,1.0,5.0,1.0,5.0,15.0,9,26.0
2019-01-02-08,2.0,1,9,3.0,7.0,6.0,1,2.0,4.0,1.0,1,2,1.0,1.0,1.0,1.0,10.0,13.0,6.0,2.0,2.0,6,5.0,1.0,5.0,1.0,1.0,4.0,5,13,8,9,18.0,7.0,5.0,9.0,1,10,1.0,8.0,13,16.0,10.0,4.0,14.0,3.0,16.0,6,6,5.0,21.0,23,31,26,39,26,21.0,21.0,25.0,36.0,25,20.0,6,2,1.0,2.0,1.0,6.0,16.0,9,24.0
2019-01-02-09,2.0,2,7,3.0,7.0,7.0,1,2.0,5.0,1.0,1,12,1.0,1.0,3.0,5.0,3.0,11.0,9.0,2.0,1.0,10,1.0,1.0,1.0,1.0,1.0,4.0,5,9,11,17,21.0,4.0,4.0,4.0,2,10,3.0,8.0,16,12.0,12.0,8.0,12.0,6.0,17.0,13,6,5.0,25.0,-999,34,29,39,28,43.0,41.0,48.0,38.0,37,25.0,5,1,1.0,1.0,1.0,6.0,15.0,8,22.0
2019-01-02-10,1.0,2,7,2.0,7.0,5.0,1,1.0,3.0,2.0,-999,11,1.0,1.0,1.0,2.0,6.0,13.0,8.0,3.0,1.0,9,3.0,5.0,1.0,5.0,1.0,6.0,9,10,-999,18,21.0,1.0,7.0,7.0,4,11,3.0,14.0,13,10.0,8.0,9.0,11.0,10.0,15.0,-999,6,6.0,36.0,31,-999,53,56,57,48.0,45.0,58.0,49.0,43,30.0,4,1,1.0,5.0,9.0,9.0,15.0,7,22.0
2019-01-02-11,2.0,5,-999,3.0,4.0,3.0,1,1.0,2.0,4.0,1,12,4.0,1.0,2.0,2.0,1.0,10.0,2.0,1.0,1.0,7,3.0,8.0,1.0,6.0,1.0,4.0,12,-999,20,21,18.0,2.0,4.0,13.0,-999,11,1.0,14.0,16,8.0,17.0,8.0,17.0,14.0,16.0,18,11,8.0,36.0,36,-999,74,75,59,48.0,48.0,70.0,69.0,-999,43.0,4,5,2.0,5.0,5.0,10.0,14.0,-999,22.0
2019-01-02-12,2.0,3,2,1.0,3.0,4.0,1,4.0,2.0,4.0,1,-999,1.0,4.0,4.0,4.0,3.0,10.0,3.0,1.0,1.0,15,4.0,8.0,7.0,9.0,6.0,6.0,12,15,18,29,18.0,4.0,1.0,12.0,4,14,7.0,14.0,17,13.0,15.0,9.0,13.0,17.0,11.0,17,16,12.0,42.0,51,50,66,78,62,38.0,39.0,70.0,59.0,61,48.0,5,6,1.0,2.0,1.0,10.0,13.0,12,22.0
2019-01-02-13,5.0,-999,5,1.0,2.0,3.0,2,4.0,1.0,3.0,1,8,3.0,6.0,7.0,4.0,3.0,12.0,3.0,8.0,1.0,21,2.0,9.0,9.0,8.0,8.0,7.0,13,15,17,29,14.0,5.0,6.0,9.0,4,-999,10.0,26.0,21,16.0,9.0,10.0,15.0,20.0,17.0,15,-999,8.0,38.0,56,60,66,55,52,38.0,47.0,56.0,49.0,61,57.0,5,5,1.0,2.0,1.0,9.0,16.0,9,24.0
2019-01-02-14,6.0,2,7,3.0,3.0,5.0,6,4.0,3.0,4.0,2,18,3.0,6.0,7.0,6.0,8.0,10.0,5.0,12.0,1.0,-999,8.0,8.0,9.0,9.0,8.0,11.0,-999,11,15,-999,10.0,5.0,11.0,7.0,8,14,10.0,15.0,-999,18.0,9.0,10.0,17.0,20.0,10.0,14,-999,6.0,37.0,55,76,-999,-999,-999,41.0,52.0,56.0,43.0,52,66.0,-999,-999,4.0,2.0,1.0,7.0,16.0,7,27.0
2019-01-02-15,7.0,3,9,3.0,5.0,9.0,-999,6.0,8.0,3.0,5,11,5.0,4.0,9.0,1.0,5.0,14.0,1.0,12.0,2.0,4,8.0,5.0,12.0,6.0,3.0,19.0,-999,12,18,43,12.0,2.0,10.0,7.0,8,12,10.0,22.0,18,19.0,9.0,12.0,25.0,24.0,21.0,19,31,9.0,38.0,-999,79,78,31,83,45.0,67.0,53.0,53.0,63,82.0,5,9,5.0,3.0,1.0,4.0,15.0,9,24.0
2019-01-02-16,7.0,2,9,4.0,6.0,9.0,8,8.0,7.0,6.0,8,13,4.0,9.0,11.0,4.0,10.0,11.0,1.0,4.0,2.0,7,8.0,7.0,8.0,4.0,5.0,12.0,8,17,23,42,12.0,3.0,7.0,8.0,6,10,9.0,20.0,16,16.0,18.0,12.0,24.0,23.0,26.0,23,38,9.0,36.0,-999,79,79,41,90,50.0,66.0,57.0,58.0,61,98.0,7,9,3.0,6.0,1.0,3.0,15.0,10,22.0
2019-01-02-17,6.0,4,7,3.0,7.0,9.0,7,7.0,4.0,5.0,10,6,1.0,7.0,10.0,7.0,8.0,13.0,4.0,4.0,2.0,7,13.0,10.0,11.0,2.0,10.0,12.0,9,16,20,43,14.0,6.0,7.0,9.0,6,10,12.0,28.0,19,14.0,10.0,10.0,23.0,18.0,32.0,21,19,5.0,36.0,-999,82,75,70,80,56.0,74.0,73.0,58.0,60,95.0,6,5,1.0,8.0,1.0,3.0,17.0,13,22.0
2019-01-02-18,7.0,5,7,2.0,8.0,8.0,8,5.0,5.0,2.0,14,13,1.0,5.0,10.0,8.0,9.0,16.0,6.0,8.0,3.0,7,18.0,12.0,9.0,4.0,10.0,14.0,11,12,15,38,22.0,9.0,10.0,7.0,8,14,10.0,24.0,19,12.0,13.0,10.0,25.0,15.0,23.0,18,23,5.0,26.0,39,74,64,54,75,59.0,67.0,63.0,57.0,46,75.0,5,2,3.0,6.0,1.0,5.0,18.0,13,22.0
2019-01-02-19,6.0,3,7,5.0,9.0,10.0,6,4.0,3.0,6.0,10,12,1.0,4.0,4.0,8.0,6.0,8.0,6.0,4.0,2.0,6,19.0,12.0,9.0,11.0,11.0,17.0,12,13,16,29,28.0,13.0,12.0,8.0,9,17,10.0,18.0,19,20.0,7.0,8.0,23.0,13.0,21.0,17,19,6.0,31.0,38,61,54,45,57,53.0,67.0,52.0,49.0,46,58.0,7,2,1.0,5.0,1.0,7.0,20.0,9,22.0
2019-01-02-20,5.0,3,9,7.0,7.0,11.0,3,4.0,3.0,9.0,5,14,3.0,4.0,8.0,4.0,9.0,10.0,4.0,1.0,2.0,2,8.0,11.0,8.0,20.0,13.0,20.0,11,13,13,28,28.0,10.0,10.0,12.0,9,12,14.0,14.0,17,16.0,6.0,6.0,17.0,10.0,21.0,13,19,7.0,38.0,27,34,45,50,48,43.0,45.0,37.0,42.0,42,47.0,6,2,1.0,3.0,1.0,7.0,21.0,10,19.0
2019-01-02-21,5.0,4,7,4.0,7.0,9.0,3,4.0,5.0,7.0,1,6,5.0,4.0,3.0,3.0,9.0,13.0,1.0,1.0,1.0,4,6.0,11.0,5.0,13.0,14.0,12.0,7,15,10,25,31.0,3.0,6.0,9.0,9,17,14.0,11.0,13,19.0,5.0,11.0,10.0,15.0,19.0,9,17,11.0,29.0,25,31,42,43,39,28.0,37.0,38.0,36.0,36,46.0,4,1,1.0,4.0,3.0,8.0,20.0,10,17.0
2019-01-02-22,5.0,4,5,1.0,5.0,4.0,3,1.0,2.0,4.0,1,7,5.0,3.0,1.0,2.0,6.0,13.0,3.0,1.0,1.0,7,8.0,11.0,5.0,13.0,13.0,15.0,7,11,12,17,33.0,5.0,5.0,7.0,8,21,11.0,9.0,16,5.0,5.0,12.0,19.0,6.0,10.0,8,15,9.0,28.0,27,28,35,33,27,22.0,23.0,28.0,31.0,34,44.0,4,1,1.0,2.0,7.0,8.0,17.0,9,22.0
2019-01-02-23,4.0,2,7,2.0,4.0,5.0,2,3.0,2.0,3.0,1,7,4.0,4.0,1.0,9.0,5.0,10.0,1.0,7.0,1.0,6,8.0,9.0,8.0,11.0,10.0,7.0,9,10,12,10,34.0,6.0,6.0,8.0,7,15,12.0,9.0,20,11.0,15.0,7.0,25.0,13.0,5.0,5,18,8.0,25.0,23,36,29,31,30,22.0,22.0,20.0,34.0,28,43.0,5,1,1.0,1.0,5.0,10.0,14.0,11,24.0
2019-01-03-00,2.0,3,6.0,1.0,7.0,8.0,2,5.0,3.0,7,1.0,6.0,2.0,4.0,1.0,10.0,3,9,1,3.0,1.0,3,3.0,8,3,12.0,11,11,8.0,10.0,17.0,12.0,33,6.0,3.0,11.0,5.0,11.0,15.0,12.0,11.0,13.0,10.0,9,29.0,12,9,13.0,11.0,10,25.0,20,28.0,30.0,29.0,24,24,23.0,16,34,30,45.0,7.0,5.0,1.0,2.0,2,11.0,15,13.0,20.0
2019-01-03-01,4.0,3,7.0,1.0,3.0,5.0,1,4.0,4.0,7,1.0,1.0,2.0,4.0,1.0,12.0,4,8,1,6.0,1.0,2,1.0,9,4,9.0,10,11,5.0,8.0,18.0,14.0,32,7.0,1.0,11.0,5.0,13.0,11.0,15.0,10.0,19.0,13.0,11,16.0,16,5,9.0,5.0,5,24.0,17,26.0,27.0,32.0,30,19,20.0,17,24,22,37.0,5.0,4.0,1.0,3.0,2,10.0,17,9.0,16.0
2019-01-03-02,4.0,1,7.0,2.0,3.0,6.0,1,2.0,5.0,5,1.0,1.0,1.0,2.0,12.0,7.0,5,11,1,1.0,1.0,3,1.0,9,1,3.0,7,8,6.0,10.0,15.0,16.0,28,4.0,10.0,8.0,9.0,10.0,10.0,18.0,17.0,17.0,2.0,4,12.0,12,7,20.0,6.0,3,14.0,24,23.0,25.0,26.0,27,18,20.0,28,27,26,32.0,4.0,1.0,1.0,2.0,1,8.0,17,10.0,16.0
