,MNB,MNE,R
竹東,--,--,--
新竹,-0.086,0.316,0.58
頭份,0.322,0.467,0.605
苗栗,--,--,--
三義,--,--,--
豐原,-0.054,0.429,0.494
沙鹿,--,--,--
大里,0.048,0.397,0.58
忠明,0.077,0.383,0.582
西屯,0.106,0.408,0.529
彰化,-0.175,0.357,0.567
線西,0.494,0.717,0.405
二林,--,--,--
南投,-0.291,0.391,0.169
斗六,--,--,--
崙背,--,--,--
新港,--,--,--
朴子,--,--,--
台西,1.296,1.482,0.277
嘉義,-0.219,0.323,0.584
竹山,--,--,--
埔里,--,--,--
overal,0.122,0.499,0.599
Criteria,-0.4/0.5,0/0.8,0.35
合格率,90%,90%,81%
合格站數,10,10,9
