,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-03-04-00,6.7,9.5,8.1,18.7,4.0,7.7,12.7,13.7
2019-03-04-01,-999.0,-999.0,8.4,19.7,-999.0,-999.0,-999.0,-999.0
2019-03-04-02,-999.0,-999.0,8.5,19.8,-999.0,-999.0,-999.0,-999.0
2019-03-04-03,14.2,11.1,8.7,19.0,13.7,11.2,15.7,17.6
2019-03-04-04,-999.0,-999.0,8.9,19.4,-999.0,-999.0,-999.0,-999.0
2019-03-04-05,-999.0,-999.0,9.1,19.2,-999.0,-999.0,-999.0,-999.0
2019-03-04-06,16.1,11.2,8.7,18.6,16.8,13.2,19.0,18.9
2019-03-04-07,-999.0,-999.0,8.5,-999.0,-999.0,-999.0,-999.0,-999.0
2019-03-04-08,-999.0,-999.0,7.8,18.0,-999.0,-999.0,-999.0,-999.0
2019-03-04-09,12.7,11.0,7.2,17.4,16.6,12.2,16.1,16.5
2019-03-04-10,-999.0,-999.0,6.7,17.3,-999.0,-999.0,-999.0,-999.0
2019-03-04-11,-999.0,-999.0,6.4,17.0,-999.0,-999.0,-999.0,-999.0
2019-03-04-12,9.2,9.7,6.3,17.2,11.3,8.7,12.1,14.5
2019-03-04-13,-999.0,-999.0,6.0,17.0,-999.0,-999.0,-999.0,-999.0
2019-03-04-14,-999.0,-999.0,5.8,17.0,-999.0,-999.0,-999.0,-999.0
2019-03-04-15,6.5,8.5,5.5,17.0,11.5,6.7,11.5,13.8
2019-03-04-16,-999.0,-999.0,5.3,16.7,-999.0,-999.0,-999.0,-999.0
2019-03-04-17,-999.0,-999.0,5.2,16.9,-999.0,-999.0,-999.0,-999.0
2019-03-04-18,5.6,7.2,4.5,17.2,7.9,8.0,11.7,13.2
2019-03-04-19,-999.0,-999.0,4.4,16.9,-999.0,-999.0,-999.0,-999.0
2019-03-04-20,-999.0,-999.0,4.8,16.6,-999.0,-999.0,-999.0,-999.0
2019-03-04-21,6.0,6.5,4.9,16.6,5.6,7.6,11.6,13.6
2019-03-04-22,-999.0,-999.0,5.2,16.8,-999.0,-999.0,-999.0,-999.0
2019-03-04-23,-999.0,-999.0,7.7,17.5,-999.0,-999.0,-999.0,-999.0
