,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-12-11-00,8.6,14.0,10.8,18.3,3.0,10.2,11.5,14.8
2019-12-11-01,-999.0,-999.0,12.2,17.8,-999.0,-999.0,-999.0,-999.0
2019-12-11-02,-999.0,-999.0,13.2,17.6,-999.0,-999.0,-999.0,-999.0
2019-12-11-03,8.1,17.3,14.4,16.9,2.0,12.2,17.7,18.0
2019-12-11-04,-999.0,-999.0,14.9,17.5,-999.0,-999.0,-999.0,-999.0
2019-12-11-05,-999.0,-999.0,15.2,18.6,-999.0,-999.0,-999.0,-999.0
2019-12-11-06,9.0,16.0,14.4,19.5,2.7,14.2,23.2,23.1
2019-12-11-07,-999.0,-999.0,13.7,20.0,-999.0,-999.0,-999.0,-999.0
2019-12-11-08,-999.0,-999.0,13.4,19.8,-999.0,-999.0,-999.0,-999.0
2019-12-11-09,4.5,12.2,13.4,19.5,1.5,12.2,18.6,18.7
2019-12-11-10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-12-11-11,-999.0,-999.0,11.8,19.3,-999.0,-999.0,-999.0,-999.0
2019-12-11-12,1.7,10.1,11.9,19.4,-0.7,8.7,15.3,16.6
2019-12-11-13,-999.0,-999.0,11.1,19.1,-999.0,-999.0,-999.0,-999.0
2019-12-11-14,-999.0,-999.0,10.7,18.3,-999.0,-999.0,-999.0,-999.0
2019-12-11-15,0.1,9.6,10.5,18.0,-2.7,8.5,13.5,15.5
2019-12-11-16,-999.0,-999.0,8.8,17.7,-999.0,-999.0,-999.0,-999.0
2019-12-11-17,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-12-11-18,-1.4,9.5,8.9,20.0,-5.6,6.1,13.4,15.2
2019-12-11-19,-999.0,-999.0,8.5,-999.0,-999.0,-999.0,-999.0,-999.0
2019-12-11-20,-999.0,-999.0,8.2,19.4,-999.0,-999.0,-999.0,-999.0
2019-12-11-21,-2.9,8.6,7.9,19.3,-7.5,8.0,12.5,14.7
2019-12-11-22,-999.0,-999.0,8.1,19.3,-999.0,-999.0,-999.0,-999.0
2019-12-11-23,-999.0,-999.0,10.0,19.0,-999.0,-999.0,-999.0,-999.0
