,MFB,MFE,R
濟州,-1.163,1.166,0.377
沖繩,-1.483,1.483,-0.253
上海,0.023,0.151,0.749
福州,-0.679,0.679,0.578
廈門,-0.822,0.822,0.377
overal,-0.825,0.86,0.763
Criteria,-0.65/0.65,0/0.85,0.45
合格率,20%,60%,40%
合格站數,1,3,2
