,MFB,MFE,R
濟州,-0.651,0.706,0.239
沖繩,--,--,--
上海,0.49,0.503,0.372
福州,-0.008,0.29,0.352
廈門,-0.158,0.428,0.302
overal,-0.082,0.482,0.115
Criteria,-0.65/0.65,0/0.85,0.45
合格率,75%,100%,0%
合格站數,3,4,0
