,MFB,MFE,R
濟州,-0.49,0.538,0.636
沖繩,-0.207,0.594,0.028
上海,-0.124,0.283,0.55
福州,-0.631,0.655,0.407
廈門,-0.343,0.407,0.652
overal,-0.364,0.5,0.601
Criteria,-0.35/0.35,0/0.55,0.5
合格率,60%,60%,60%
合格站數,3,3,3
