,MFB,MFE,R
濟州,-0.389,0.486,0.773
沖繩,-0.0,0.754,0.038
上海,-0.024,0.229,0.816
福州,-0.325,0.399,0.578
廈門,-0.288,0.377,0.637
overal,-0.205,0.449,0.822
Criteria,-0.35/0.35,0/0.55,0.5
合格率,80%,80%,80%
合格站數,4,4,4
