,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-02-20-00,260.0,270.0,50.0,30.0,20.0,70.0,160.0,90.0
2019-02-20-01,-999.0,-999.0,10.0,110.0,-999.0,-999.0,-999.0,-999.0
2019-02-20-02,-999.0,-999.0,360.0,110.0,-999.0,-999.0,-999.0,-999.0
2019-02-20-03,295.0,360.0,50.0,110.0,360.0,40.0,140.0,20.0
2019-02-20-04,-999.0,-999.0,30.0,100.0,-999.0,-999.0,-999.0,-999.0
2019-02-20-05,-999.0,-999.0,80.0,80.0,-999.0,-999.0,-999.0,-999.0
2019-02-20-06,303.0,320.0,90.0,120.0,250.0,70.0,160.0,290.0
2019-02-20-07,-999.0,-999.0,110.0,70.0,-999.0,-999.0,-999.0,-999.0
2019-02-20-08,-999.0,-999.0,80.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-02-20-09,276.0,340.0,60.0,100.0,220.0,360.0,140.0,110.0
2019-02-20-10,-999.0,-999.0,100.0,150.0,-999.0,-999.0,-999.0,-999.0
2019-02-20-11,-999.0,-999.0,90.0,120.0,-999.0,-999.0,-999.0,-999.0
2019-02-20-12,282.0,340.0,10.0,90.0,220.0,40.0,160.0,110.0
2019-02-20-13,-999.0,-999.0,360.0,70.0,-999.0,-999.0,-999.0,-999.0
2019-02-20-14,-999.0,-999.0,30.0,130.0,-999.0,-999.0,-999.0,-999.0
2019-02-20-15,276.0,360.0,350.0,130.0,220.0,40.0,140.0,110.0
2019-02-20-16,-999.0,-999.0,350.0,150.0,-999.0,-999.0,-999.0,-999.0
2019-02-20-17,-999.0,-999.0,330.0,190.0,-999.0,-999.0,-999.0,-999.0
2019-02-20-18,279.0,340.0,340.0,230.0,-999.0,40.0,160.0,110.0
2019-02-20-19,-999.0,-999.0,340.0,230.0,-999.0,-999.0,-999.0,-999.0
2019-02-20-20,-999.0,-999.0,340.0,230.0,-999.0,-999.0,-999.0,-999.0
2019-02-20-21,263.0,360.0,330.0,240.0,250.0,40.0,-999.0,140.0
2019-02-20-22,-999.0,-999.0,320.0,260.0,-999.0,-999.0,-999.0,-999.0
2019-02-20-23,-999.0,-999.0,320.0,270.0,-999.0,-999.0,-999.0,-999.0
