,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-09-02-00,348.0,70.0,80.0,120.0,70.0,40.0,340.0,250.0
2019-09-02-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-09-02-02,-999.0,-999.0,160.0,120.0,-999.0,-999.0,-999.0,-999.0
2019-09-02-03,137.0,70.0,160.0,110.0,250.0,70.0,70.0,180.0
2019-09-02-04,-999.0,-999.0,140.0,110.0,-999.0,-999.0,-999.0,-999.0
2019-09-02-05,-999.0,-999.0,150.0,130.0,-999.0,-999.0,-999.0,-999.0
2019-09-02-06,243.0,20.0,150.0,120.0,180.0,340.0,360.0,160.0
2019-09-02-07,-999.0,-999.0,170.0,110.0,-999.0,-999.0,-999.0,-999.0
2019-09-02-08,-999.0,-999.0,170.0,110.0,-999.0,-999.0,-999.0,-999.0
2019-09-02-09,267.0,20.0,210.0,100.0,200.0,70.0,40.0,140.0
2019-09-02-10,-999.0,-999.0,200.0,110.0,-999.0,-999.0,-999.0,-999.0
2019-09-02-11,-999.0,-999.0,220.0,120.0,-999.0,-999.0,-999.0,-999.0
2019-09-02-12,258.0,290.0,290.0,120.0,180.0,90.0,40.0,140.0
2019-09-02-13,-999.0,-999.0,290.0,120.0,-999.0,-999.0,-999.0,-999.0
2019-09-02-14,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-09-02-15,316.0,-999.0,270.0,110.0,200.0,290.0,20.0,340.0
2019-09-02-16,-999.0,-999.0,310.0,120.0,-999.0,-999.0,-999.0,-999.0
2019-09-02-17,-999.0,-999.0,350.0,120.0,-999.0,-999.0,-999.0,-999.0
2019-09-02-18,338.0,360.0,10.0,130.0,220.0,360.0,360.0,220.0
2019-09-02-19,-999.0,-999.0,360.0,100.0,-999.0,-999.0,-999.0,-999.0
2019-09-02-20,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-09-02-21,354.0,180.0,20.0,120.0,200.0,270.0,340.0,320.0
2019-09-02-22,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-09-02-23,-999.0,-999.0,40.0,130.0,-999.0,-999.0,-999.0,-999.0
