,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-12-06-00,15.0,360.0,340.0,40.0,70.0,41.0,350.0,350.0
2019-12-06-01,-999.0,-999.0,20.0,30.0,-999.0,-999.0,-999.0,-999.0
2019-12-06-02,-999.0,-999.0,350.0,30.0,-999.0,-999.0,-999.0,-999.0
2019-12-06-03,207.0,360.0,350.0,40.0,82.0,354.0,326.0,347.0
2019-12-06-04,-999.0,-999.0,20.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-12-06-05,-999.0,-999.0,30.0,30.0,-999.0,-999.0,-999.0,-999.0
2019-12-06-06,253.0,360.0,30.0,30.0,240.0,6.0,330.0,330.0
2019-12-06-07,-999.0,-999.0,60.0,30.0,-999.0,-999.0,-999.0,-999.0
2019-12-06-08,-999.0,-999.0,50.0,30.0,-999.0,-999.0,-999.0,-999.0
2019-12-06-09,299.0,360.0,90.0,30.0,248.0,23.0,347.0,349.0
2019-12-06-10,-999.0,-999.0,260.0,30.0,-999.0,-999.0,-999.0,-999.0
2019-12-06-11,-999.0,-999.0,330.0,30.0,-999.0,-999.0,-999.0,-999.0
2019-12-06-12,290.0,360.0,290.0,20.0,70.0,349.0,310.0,350.0
2019-12-06-13,-999.0,-999.0,300.0,30.0,-999.0,-999.0,-999.0,-999.0
2019-12-06-14,-999.0,-999.0,350.0,20.0,-999.0,-999.0,-999.0,-999.0
2019-12-06-15,287.0,340.0,330.0,20.0,360.0,27.0,22.0,40.0
2019-12-06-16,-999.0,-999.0,330.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-12-06-17,-999.0,-999.0,330.0,20.0,-999.0,-999.0,-999.0,-999.0
2019-12-06-18,49.0,340.0,20.0,20.0,70.0,239.0,340.0,30.0
2019-12-06-19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-12-06-20,-999.0,-999.0,10.0,20.0,-999.0,-999.0,-999.0,-999.0
2019-12-06-21,46.0,360.0,20.0,20.0,341.0,21.0,310.0,360.0
2019-12-06-22,-999.0,-999.0,80.0,20.0,-999.0,-999.0,-999.0,-999.0
2019-12-06-23,-999.0,-999.0,40.0,20.0,-999.0,-999.0,-999.0,-999.0
