,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-08-21-00,1.5,1.0,1.5,5.1,3.0,1.0,2.0,2.0
2019-08-21-01,-999.0,-999.0,2.6,6.2,-999.0,-999.0,-999.0,-999.0
2019-08-21-02,-999.0,-999.0,1.5,6.7,-999.0,-999.0,-999.0,-999.0
2019-08-21-03,1.7,1.0,3.1,6.7,2.0,3.0,2.0,2.0
2019-08-21-04,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-21-05,-999.0,-999.0,4.6,5.7,-999.0,-999.0,-999.0,-999.0
2019-08-21-06,2.0,2.0,5.1,5.1,2.0,3.0,4.0,3.0
2019-08-21-07,-999.0,-999.0,5.1,4.6,-999.0,-999.0,-999.0,-999.0
2019-08-21-08,-999.0,-999.0,5.1,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-21-09,3.1,1.5,4.6,4.6,3.0,3.0,2.0,3.0
2019-08-21-10,-999.0,-999.0,2.6,4.6,-999.0,-999.0,-999.0,-999.0
2019-08-21-11,-999.0,-999.0,5.7,4.1,-999.0,-999.0,-999.0,-999.0
2019-08-21-12,0.9,0.5,4.1,3.1,1.0,3.0,3.0,3.0
2019-08-21-13,-999.0,-999.0,4.1,4.1,-999.0,-999.0,-999.0,-999.0
2019-08-21-14,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-21-15,0.0,1.5,2.6,4.1,1.0,1.0,1.0,2.0
2019-08-21-16,-999.0,-999.0,1.0,4.1,-999.0,-999.0,-999.0,-999.0
2019-08-21-17,-999.0,-999.0,2.1,3.1,-999.0,-999.0,-999.0,-999.0
2019-08-21-18,0.4,2.0,2.6,4.1,-999.0,0.0,2.0,1.0
2019-08-21-19,-999.0,-999.0,2.6,2.1,-999.0,-999.0,-999.0,-999.0
2019-08-21-20,-999.0,-999.0,2.1,1.5,-999.0,-999.0,-999.0,-999.0
2019-08-21-21,0.3,4.6,1.5,3.1,2.0,0.0,3.0,1.0
2019-08-21-22,-999.0,-999.0,2.1,3.6,-999.0,-999.0,-999.0,-999.0
2019-08-21-23,-999.0,-999.0,2.1,4.1,-999.0,-999.0,-999.0,-999.0
