,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-01-12-00,0.4,3.0,3.6,3.1,1.0,3.0,1.0,1.0
2019-01-12-01,-999.0,-999.0,2.6,5.7,-999.0,-999.0,-999.0,-999.0
2019-01-12-02,-999.0,-999.0,1.5,7.2,-999.0,-999.0,-999.0,-999.0
2019-01-12-03,1.3,3.1,2.1,6.7,-999.0,4.0,1.0,2.0
2019-01-12-04,-999.0,-999.0,1.0,7.7,-999.0,-999.0,-999.0,-999.0
2019-01-12-05,-999.0,-999.0,1.5,6.7,-999.0,-999.0,-999.0,-999.0
2019-01-12-06,1.8,3.5,2.6,7.2,2.0,3.0,4.0,1.0
2019-01-12-07,-999.0,-999.0,2.1,5.7,-999.0,-999.0,-999.0,-999.0
2019-01-12-08,-999.0,-999.0,1.5,6.7,-999.0,-999.0,-999.0,-999.0
2019-01-12-09,2.8,3.1,1.5,6.2,2.0,3.0,2.0,4.0
2019-01-12-10,-999.0,-999.0,1.5,6.7,-999.0,-999.0,-999.0,-999.0
2019-01-12-11,-999.0,-999.0,2.6,6.7,-999.0,-999.0,-999.0,-999.0
2019-01-12-12,2.7,4.0,2.6,5.1,1.0,1.0,1.0,2.0
2019-01-12-13,-999.0,-999.0,2.1,-999.0,-999.0,-999.0,-999.0,-999.0
2019-01-12-14,-999.0,-999.0,1.5,4.6,-999.0,-999.0,-999.0,-999.0
2019-01-12-15,1.3,3.1,1.5,5.7,1.0,1.0,2.0,3.0
2019-01-12-16,-999.0,-999.0,1.5,4.1,-999.0,-999.0,-999.0,-999.0
2019-01-12-17,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-01-12-18,0.8,4.0,2.1,5.7,-999.0,1.0,1.0,3.0
2019-01-12-19,-999.0,-999.0,2.6,6.7,-999.0,-999.0,-999.0,-999.0
2019-01-12-20,-999.0,-999.0,1.5,5.7,-999.0,-999.0,-999.0,-999.0
2019-01-12-21,0.7,3.6,1.5,5.1,-999.0,1.0,1.0,2.0
2019-01-12-22,-999.0,-999.0,2.6,4.6,-999.0,-999.0,-999.0,-999.0
2019-01-12-23,-999.0,-999.0,2.6,5.1,-999.0,-999.0,-999.0,-999.0
