,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-08-17-00,2.0,3.0,3.1,3.1,3.0,2.0,1.0,1.0
2019-08-17-01,-999.0,-999.0,3.6,2.1,-999.0,-999.0,-999.0,-999.0
2019-08-17-02,-999.0,-999.0,3.6,6.2,-999.0,-999.0,-999.0,-999.0
2019-08-17-03,2.9,4.1,4.1,7.2,5.0,2.0,1.0,3.0
2019-08-17-04,-999.0,-999.0,5.1,4.1,-999.0,-999.0,-999.0,-999.0
2019-08-17-05,-999.0,-999.0,4.1,5.1,-999.0,-999.0,-999.0,-999.0
2019-08-17-06,4.1,5.0,4.6,5.1,5.0,3.0,4.0,3.0
2019-08-17-07,-999.0,-999.0,3.1,4.6,-999.0,-999.0,-999.0,-999.0
2019-08-17-08,-999.0,-999.0,4.6,3.1,-999.0,-999.0,-999.0,-999.0
2019-08-17-09,2.9,4.6,2.6,2.6,2.0,1.0,2.0,6.0
2019-08-17-10,-999.0,-999.0,2.6,3.1,-999.0,-999.0,-999.0,-999.0
2019-08-17-11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-17-12,2.5,1.5,1.5,3.6,1.0,2.0,2.0,1.0
2019-08-17-13,-999.0,-999.0,1.5,4.1,-999.0,-999.0,-999.0,-999.0
2019-08-17-14,-999.0,-999.0,1.0,3.1,-999.0,-999.0,-999.0,-999.0
2019-08-17-15,2.3,1.5,1.5,3.1,1.0,3.0,2.0,4.0
2019-08-17-16,-999.0,-999.0,1.0,2.1,-999.0,-999.0,-999.0,-999.0
2019-08-17-17,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-17-18,0.7,2.0,1.5,1.5,1.0,2.0,2.0,3.0
2019-08-17-19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-17-20,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-17-21,0.7,2.1,1.5,2.6,1.0,2.0,2.0,1.0
2019-08-17-22,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-17-23,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
