,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-05-23-00,2.0,5.5,2.1,3.6,2.0,2.0,2.0,1.0
2019-05-23-01,-999.0,-999.0,3.1,4.1,-999.0,-999.0,-999.0,-999.0
2019-05-23-02,-999.0,-999.0,2.1,4.6,-999.0,-999.0,-999.0,-999.0
2019-05-23-03,1.8,5.7,3.1,5.1,1.0,2.0,2.0,1.0
2019-05-23-04,-999.0,-999.0,3.1,4.1,-999.0,-999.0,-999.0,-999.0
2019-05-23-05,-999.0,-999.0,4.1,4.6,-999.0,-999.0,-999.0,-999.0
2019-05-23-06,2.8,6.0,4.6,4.6,4.0,3.0,4.0,1.0
2019-05-23-07,-999.0,-999.0,4.6,-999.0,-999.0,-999.0,-999.0,-999.0
2019-05-23-08,-999.0,-999.0,4.1,4.1,-999.0,-999.0,-999.0,-999.0
2019-05-23-09,2.3,5.7,5.7,4.6,2.0,2.0,3.0,1.0
2019-05-23-10,-999.0,-999.0,3.1,4.6,-999.0,-999.0,-999.0,-999.0
2019-05-23-11,-999.0,-999.0,5.1,3.6,-999.0,-999.0,-999.0,-999.0
2019-05-23-12,1.6,3.5,4.1,3.1,1.0,3.0,2.0,1.0
2019-05-23-13,-999.0,-999.0,3.6,3.6,-999.0,-999.0,-999.0,-999.0
2019-05-23-14,-999.0,-999.0,2.6,3.1,-999.0,-999.0,-999.0,-999.0
2019-05-23-15,0.9,4.6,2.1,3.1,2.0,2.0,2.0,1.0
2019-05-23-16,-999.0,-999.0,2.1,2.6,-999.0,-999.0,-999.0,-999.0
2019-05-23-17,-999.0,-999.0,1.5,2.1,-999.0,-999.0,-999.0,-999.0
2019-05-23-18,0.4,5.0,1.5,2.6,1.0,2.0,2.0,2.0
2019-05-23-19,-999.0,-999.0,3.1,2.1,-999.0,-999.0,-999.0,-999.0
2019-05-23-20,-999.0,-999.0,2.6,1.5,-999.0,-999.0,-999.0,-999.0
2019-05-23-21,0.9,4.1,1.5,2.6,1.0,0.0,2.0,2.0
2019-05-23-22,-999.0,-999.0,1.5,2.1,-999.0,-999.0,-999.0,-999.0
2019-05-23-23,-999.0,-999.0,2.1,4.1,-999.0,-999.0,-999.0,-999.0
