,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-08-01-00,4.2,2.5,2.6,5.7,3.0,3.0,3.0,2.0
2019-08-01-01,-999.0,-999.0,2.1,5.1,-999.0,-999.0,-999.0,-999.0
2019-08-01-02,-999.0,-999.0,2.1,5.7,-999.0,-999.0,-999.0,-999.0
2019-08-01-03,1.6,3.1,3.6,7.7,2.0,4.0,2.0,2.0
2019-08-01-04,-999.0,-999.0,4.6,5.7,-999.0,-999.0,-999.0,-999.0
2019-08-01-05,-999.0,-999.0,3.6,7.2,-999.0,-999.0,-999.0,-999.0
2019-08-01-06,3.6,3.0,4.1,8.8,3.0,4.0,5.0,4.0
2019-08-01-07,-999.0,-999.0,3.6,8.2,-999.0,-999.0,-999.0,-999.0
2019-08-01-08,-999.0,-999.0,2.6,5.7,-999.0,-999.0,-999.0,-999.0
2019-08-01-09,2.3,3.6,2.6,7.2,2.0,4.0,5.0,2.0
2019-08-01-10,-999.0,-999.0,3.1,7.7,-999.0,-999.0,-999.0,-999.0
2019-08-01-11,-999.0,-999.0,2.6,7.2,-999.0,-999.0,-999.0,-999.0
2019-08-01-12,1.7,1.5,2.1,6.7,2.0,3.0,4.0,2.0
2019-08-01-13,-999.0,-999.0,3.1,6.2,-999.0,-999.0,-999.0,-999.0
2019-08-01-14,-999.0,-999.0,3.1,5.7,-999.0,-999.0,-999.0,-999.0
2019-08-01-15,1.2,1.0,2.1,5.1,2.0,3.0,4.0,2.0
2019-08-01-16,-999.0,-999.0,2.6,5.7,-999.0,-999.0,-999.0,-999.0
2019-08-01-17,-999.0,-999.0,1.5,5.7,-999.0,-999.0,-999.0,-999.0
2019-08-01-18,0.5,0.5,3.1,5.7,-999.0,2.0,2.0,1.0
2019-08-01-19,-999.0,-999.0,2.1,4.6,-999.0,-999.0,-999.0,-999.0
2019-08-01-20,-999.0,-999.0,1.0,6.2,-999.0,-999.0,-999.0,-999.0
2019-08-01-21,0.0,1.0,0.5,5.1,1.0,2.0,1.0,2.0
2019-08-01-22,-999.0,-999.0,0.5,10.8,-999.0,-999.0,-999.0,-999.0
2019-08-01-23,-999.0,-999.0,1.0,4.1,-999.0,-999.0,-999.0,-999.0
