UTC,首爾,東京,北京
2019-01-30-00,0.9500052795604598,1.008394342610972,4.210280036178416
2019-01-30-01,1.2094604714917785,0.9222157264231254,5.210166568578306
2019-01-30-02,1.28502173261346,1.0584058244481855,5.510667515448875
2019-01-30-03,2.496912704403141,1.9475302298183244,6.5510308503694805
2019-01-30-04,2.39574585929382,2.9660357702158646,6.764688006861485
2019-01-30-05,2.7289797847767043,3.5738634261441544,6.67209571349023
2019-01-30-06,3.102261573927444,3.8604484560451104,6.224081046436014
2019-01-30-07,3.7160382622720936,4.015869714821428,5.180933303911357
2019-01-30-08,3.774720270010226,3.5125551560950163,4.983020885569216
2019-01-30-09,3.6063101446928214,2.15426170110561,4.883592268577385
2019-01-30-10,4.0461538042799035,1.5885079983436199,4.34562733703846
2019-01-30-11,4.310783848951403,1.955589724515912,4.430869666787052
2019-01-30-12,4.294932536495729,2.132164759145226,5.1641230758305126
2019-01-30-13,3.8421684341969162,2.0030584747735505,4.898054202513144
2019-01-30-14,3.942968321448458,1.8264443523934482,4.475572600872704
2019-01-30-15,4.135695072319292,1.3352372916333204,3.9690370880004817
2019-01-30-16,4.508263465727177,0.921257307348178,3.972206561124116
2019-01-30-17,4.542777975595927,0.46901712690745934,3.954457600914082
2019-01-30-18,4.33272586177729,0.29167663749578965,3.8117412737833076
2019-01-30-19,4.344025619238536,0.6248928225033904,3.395505737777603
2019-01-30-20,3.994034222602524,0.8795284975561339,3.12244561234655
2019-01-30-21,3.8479447688808395,0.893739211793348,3.1893097069136647
2019-01-30-22,3.633968631310313,0.9209349128184056,2.957087165862688
2019-01-30-23,4.110074952030207,1.684382355421751,2.7762764627017593
