UTC,首爾,東京,北京
2019-09-25-00,1.6366165130881254,1.9680886926199899,1.2658165247316464
2019-09-25-01,0.6978820133928557,2.1340708192766784,0.5781285641523382
2019-09-25-02,0.47437550922732513,2.171705471777216,0.4164638544330775
2019-09-25-03,0.7887772185002616,2.1980730020929853,1.4563808803053881
2019-09-25-04,1.051185441724376,1.7628138280881698,2.028804644675498
2019-09-25-05,0.9569632113439662,2.0101904664527748,2.6251927766420153
2019-09-25-06,0.9170104353783075,2.448594526244399,2.834715979620243
2019-09-25-07,1.2035422222966201,2.6655378156553313,3.0354137977299787
2019-09-25-08,1.579825613150346,3.135066849111213,2.9246106498355484
2019-09-25-09,1.868902683399268,4.1900126795963075,2.722561068465114
2019-09-25-10,1.5740859908986544,4.661370494848586,2.1621188757217853
2019-09-25-11,1.0977458625907417,4.506496011801944,1.4730894684271159
2019-09-25-12,0.978113684571561,4.136726878269745,1.2274489033741074
2019-09-25-13,0.4321002836087305,3.5619586717917713,1.4259674336705126
2019-09-25-14,0.18393143933990547,3.084521299653561,1.2689851323973023
2019-09-25-15,1.7090414183918736,2.867558878358204,1.033503198298562
2019-09-25-16,2.786756339468981,2.961970174214741,1.1855640390822608
2019-09-25-17,2.7703453460791536,3.204134077565259,1.267323754996653
2019-09-25-18,2.547172508832365,3.3174119274326084,1.4372345306029364
2019-09-25-19,2.503567850021749,3.297538353977603,1.6590208020917445
2019-09-25-20,2.3692069731224406,3.1801820857021044,1.7254779071042574
2019-09-25-21,1.9890593041961078,3.010992219661702,1.8038567276182897
2019-09-25-22,2.0588638294109374,2.9253176386292967,1.928737117123905
2019-09-25-23,2.079169539117838,2.721429153863809,1.7767562844053404
