,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-04-13,5.56,29.5,36,43,33.08,15.27,22.4,14.25
2019-01-04-14,8.82,31.5,36,43,34.1,16.29,21.38,20.87
2019-01-04-15,11.0,26.0,37,43,34.1,14.25,20.36,20.87
2019-01-04-16,7.33,23.5,35,43,31.56,10.18,15.78,14.25
2019-01-04-17,4.11,25.0,34,43,28.5,5.09,9.16,11.2
2019-01-04-18,2.5,22.0,28,40,21.89,3.56,5.09,7.64
2019-01-04-19,2.33,13.5,22,38,18.83,3.05,3.56,8.14
2019-01-04-20,2.29,23.0,16,37,17.31,3.05,4.07,10.18
2019-01-04-21,2.17,24.5,14,37,14.25,3.05,3.56,11.2
2019-01-04-22,2.17,26.0,17,39,15.27,3.05,4.58,12.22
2019-01-04-23,2.39,28.5,8,39,19.85,3.05,4.58,11.2
2019-01-05-00,2.94,33.5,26,40,18.32,2.54,4.07,15.78
2019-01-05-01,9.11,38.0,29,40,16.8,3.05,4.58,17.31
2019-01-05-02,17.72,38.5,26,41,17.82,2.54,3.56,15.78
2019-01-05-03,22.39,46.0,25,41,19.85,2.54,5.09,14.76
2019-01-05-04,21.56,47.0,23,41,18.83,3.05,5.09,13.23
2019-01-05-05,17.17,44.0,25,40,18.83,3.05,7.64,12.72
2019-01-05-06,13.11,36.0,27,37,19.85,3.05,8.14,14.25
2019-01-05-07,11.28,21.5,24,37,17.82,4.07,7.64,12.72
2019-01-05-08,10.33,34.5,23,40,16.29,9.16,7.13,12.22
2019-01-05-09,12.72,45.0,25,40,18.83,16.29,7.13,14.76
2019-01-05-10,15.72,48.0,29,41,22.4,19.85,9.67,16.8
2019-01-05-11,18.28,44.5,35,42,26.47,21.89,11.71,16.29
2019-01-05-12,22.39,47.5,36,42,27.49,21.38,13.23,16.8
2019-01-05-13,26.17,53.0,37,44,28.0,21.38,14.25,18.83
2019-01-05-14,28.17,55.5,38,45,27.49,19.85,15.78,22.4
2019-01-05-15,28.11,53.5,38,44,26.98,18.32,17.31,22.4
2019-01-05-16,24.94,47.0,37,44,23.92,18.83,15.27,24.43
2019-01-05-17,16.89,41.0,35,45,19.85,18.83,13.74,19.85
2019-01-05-18,12.17,19.5,33,46,12.22,14.76,10.69,15.27
2019-01-05-19,11.39,11.5,32,46,6.62,16.29,8.14,9.16
2019-01-05-20,11.78,16.0,31,43,4.58,20.36,9.67,4.58
2019-01-05-21,10.56,20.0,30,46,4.07,19.85,10.18,2.54
2019-01-05-22,7.33,20.5,27,47,5.6,24.43,10.69,3.56
2019-01-05-23,6.67,32.0,29,46,4.07,26.98,10.18,5.09
2019-01-06-00,5.06,37.0,27,43,3.56,28.0,7.13,8.14
2019-01-06-01,3.89,41.5,30,42,4.58,24.43,8.65,10.69
2019-01-06-02,5.94,41.5,33,42,2.54,26.98,7.64,11.71
2019-01-06-03,8.67,42.5,33,45,3.05,30.03,8.14,9.67
2019-01-06-04,8.17,43.0,34,44,4.07,31.05,10.18,6.62
2019-01-06-05,6.11,40.5,33,44,4.07,32.58,6.62,4.58
2019-01-06-06,4.06,38.0,31,43,3.56,31.56,5.09,2.54
2019-01-06-07,2.83,33.0,27,38,3.05,27.49,5.09,2.54
2019-01-06-08,3.67,29.0,18,38,3.56,23.41,5.09,4.07
2019-01-06-09,5.72,35.5,15,35,2.54,22.4,5.09,5.6
2019-01-06-10,8.11,38.0,20,37,3.56,23.92,7.13,5.6
2019-01-06-11,11.44,41.0,28,38,4.58,24.43,10.18,7.13
2019-01-06-12,15.22,42.5,32,39,5.6,24.43,11.71,11.2
2019-01-06-13,17.72,43.5,32,40,6.62,23.41,13.74,18.32
2019-01-06-14,19.89,44.5,31,39,7.13,20.36,22.4,21.38
2019-01-06-15,22.11,44.5,31,39,7.64,17.31,27.49,19.34
2019-01-06-16,21.72,42.5,31,37,7.13,13.74,25.45,16.8
2019-01-06-17,16.67,40.0,27,36,4.58,10.69,21.89,13.74
2019-01-06-18,11.0,35.5,24,36,3.05,11.71,17.31,13.23
2019-01-06-19,8.83,34.5,25,36,2.54,13.23,17.31,15.27
2019-01-06-20,5.89,25.5,26,37,2.04,11.71,18.32,19.34
2019-01-06-21,3.29,23.0,27,36,2.54,15.78,18.32,15.78
2019-01-06-22,2.18,23.5,29,36,2.54,20.36,19.34,14.76
